UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 22 18:52:43,25.2,4.2,21:07:10,3.9,135.9,133.6,19948.5
2016 NOV 22 18:52:53,25.2,4.2,21:07:16,3.9,135.9,133.6,19965.0
2016 NOV 22 18:53:03,25.1,4.2,21:07:22,3.9,135.9,133.6,19981.5
2016 NOV 22 18:53:13,25.1,4.2,21:07:28,3.9,136.0,133.6,19998.0
2016 NOV 22 18:53:23,25.1,4.1,21:07:34,3.9,136.0,133.6,20014.4
2016 NOV 22 18:53:33,25.1,4.1,21:07:41,3.9,136.0,133.7,20030.9
2016 NOV 22 18:53:43,25.1,4.1,21:07:47,3.9,136.0,133.7,20047.4
2016 NOV 22 18:53:53,25.1,4.1,21:07:52,3.9,136.0,133.7,20063.9
2016 NOV 22 18:54:03,25.0,4.1,21:07:58,3.9,136.1,133.7,20080.3
2016 NOV 22 18:54:13,25.0,4.1,21:08:04,3.9,136.1,133.7,20096.8
2016 NOV 22 18:54:23,25.0,4.1,21:08:10,3.9,136.1,133.8,20113.2
2016 NOV 22 18:54:33,25.0,4.1,21:08:16,3.9,136.1,133.8,20129.6
2016 NOV 22 18:54:43,25.0,4.1,21:08:22,3.9,136.1,133.8,20146.1
2016 NOV 22 18:54:53,25.0,4.1,21:08:28,3.9,136.2,133.8,20162.5
2016 NOV 22 18:55:03,24.9,4.1,21:08:34,3.9,136.2,133.8,20178.9
2016 NOV 22 18:55:13,24.9,4.1,21:08:40,3.9,136.2,133.8,20195.3
2016 NOV 22 18:55:23,24.9,4.1,21:08:46,3.9,136.2,133.9,20211.7
2016 NOV 22 18:55:33,24.9,4.1,21:08:52,3.9,136.2,133.9,20228.1
2016 NOV 22 18:55:43,24.9,4.1,21:08:58,3.9,136.3,133.9,20244.5
2016 NOV 22 18:55:53,24.9,4.1,21:09:04,3.9,136.3,133.9,20260.9
2016 NOV 22 18:56:03,24.9,4.1,21:09:09,3.9,136.3,133.9,20277.3
2016 NOV 22 18:56:13,24.8,4.1,21:09:15,4.0,136.3,134.0,20293.6
2016 NOV 22 18:56:23,24.8,4.0,21:09:21,4.0,136.3,134.0,20310.0
2016 NOV 22 18:56:33,24.8,4.0,21:09:27,4.0,136.4,134.0,20326.4
2016 NOV 22 18:56:43,24.8,4.0,21:09:33,4.0,136.4,134.0,20342.7
2016 NOV 22 18:56:53,24.8,4.0,21:09:39,4.0,136.4,134.0,20359.0
2016 NOV 22 18:57:03,24.8,4.0,21:09:44,4.0,136.4,134.0,20375.4
2016 NOV 22 18:57:13,24.7,4.0,21:09:50,4.0,136.4,134.1,20391.7
2016 NOV 22 18:57:23,24.7,4.0,21:09:56,4.0,136.5,134.1,20408.0
2016 NOV 22 18:57:33,24.7,4.0,21:10:02,4.0,136.5,134.1,20424.3
2016 NOV 22 18:57:43,24.7,4.0,21:10:08,4.0,136.5,134.1,20440.6
2016 NOV 22 18:57:53,24.7,4.0,21:10:13,4.0,136.5,134.1,20457.0
2016 NOV 22 18:58:03,24.7,4.0,21:10:19,4.0,136.5,134.1,20473.2
2016 NOV 22 18:58:13,24.6,4.0,21:10:25,4.0,136.6,134.2,20489.5
2016 NOV 22 18:58:23,24.6,4.0,21:10:31,4.0,136.6,134.2,20505.8
2016 NOV 22 18:58:33,24.6,4.0,21:10:36,4.0,136.6,134.2,20522.1
2016 NOV 22 18:58:43,24.6,4.0,21:10:42,4.0,136.6,134.2,20538.4
2016 NOV 22 18:58:53,24.6,4.0,21:10:48,4.0,136.6,134.2,20554.6
2016 NOV 22 18:59:03,24.6,4.0,21:10:54,4.0,136.7,134.3,20570.9
2016 NOV 22 18:59:13,24.5,4.0,21:10:59,4.0,136.7,134.3,20587.1
2016 NOV 22 18:59:23,24.5,4.0,21:11:05,4.0,136.7,134.3,20603.4
2016 NOV 22 18:59:33,24.5,3.9,21:11:11,4.0,136.7,134.3,20619.6
2016 NOV 22 18:59:43,24.5,3.9,21:11:16,4.0,136.7,134.3,20635.8
2016 NOV 22 18:59:53,24.5,3.9,21:11:22,4.0,136.8,134.3,20652.0
2016 NOV 22 19:00:03,24.5,3.9,21:11:28,4.0,136.8,134.4,20668.3
2016 NOV 22 19:00:13,24.4,3.9,21:11:33,4.0,136.8,134.4,20684.5
2016 NOV 22 19:00:23,24.4,3.9,21:11:39,4.0,136.8,134.4,20700.7
2016 NOV 22 19:00:33,24.4,3.9,21:11:44,4.0,136.8,134.4,20716.9
2016 NOV 22 19:00:43,24.4,3.9,21:11:50,4.0,136.9,134.4,20733.0
2016 NOV 22 19:00:53,24.4,3.9,21:11:56,4.0,136.9,134.4,20749.2
2016 NOV 22 19:01:03,24.4,3.9,21:12:01,4.0,136.9,134.5,20765.4
2016 NOV 22 19:01:13,24.3,3.9,21:12:07,4.0,136.9,134.5,20781.6
2016 NOV 22 19:01:23,24.3,3.9,21:12:12,4.1,136.9,134.5,20797.7
2016 NOV 22 19:01:33,24.3,3.9,21:12:18,4.1,136.9,134.5,20813.9
2016 NOV 22 19:01:43,24.3,3.9,21:12:24,4.1,137.0,134.5,20830.0
2016 NOV 22 19:01:53,24.3,3.9,21:12:29,4.1,137.0,134.5,20846.2
2016 NOV 22 19:02:03,24.2,3.9,21:12:35,4.1,137.0,134.6,20862.3
2016 NOV 22 19:02:13,24.2,3.9,21:12:40,4.1,137.0,134.6,20878.4
2016 NOV 22 19:02:23,24.2,3.9,21:12:46,4.1,137.0,134.6,20894.6
2016 NOV 22 19:02:33,24.2,3.9,21:12:51,4.1,137.1,134.6,20910.7
2016 NOV 22 19:02:43,24.2,3.8,21:12:57,4.1,137.1,134.6,20926.8
2016 NOV 22 19:02:53,24.2,3.8,21:13:02,4.1,137.1,134.6,20942.9
2016 NOV 22 19:03:03,24.1,3.8,21:13:08,4.1,137.1,134.7,20959.0
2016 NOV 22 19:03:13,24.1,3.8,21:13:13,4.1,137.1,134.7,20975.1
2016 NOV 22 19:03:23,24.1,3.8,21:13:19,4.1,137.2,134.7,20991.2
2016 NOV 22 19:03:33,24.1,3.8,21:13:24,4.1,137.2,134.7,21007.2
2016 NOV 22 19:03:43,24.1,3.8,21:13:30,4.1,137.2,134.7,21023.3
2016 NOV 22 19:03:53,24.1,3.8,21:13:35,4.1,137.2,134.7,21039.4
2016 NOV 22 19:04:03,24.0,3.8,21:13:41,4.1,137.2,134.8,21055.4
2016 NOV 22 19:04:13,24.0,3.8,21:13:46,4.1,137.2,134.8,21071.5
2016 NOV 22 19:04:23,24.0,3.8,21:13:52,4.1,137.3,134.8,21087.5
2016 NOV 22 19:04:33,24.0,3.8,21:13:57,4.1,137.3,134.8,21103.6
2016 NOV 22 19:04:43,24.0,3.8,21:14:02,4.1,137.3,134.8,21119.6
2016 NOV 22 19:04:53,23.9,3.8,21:14:08,4.1,137.3,134.8,21135.6
2016 NOV 22 19:05:03,23.9,3.8,21:14:13,4.1,137.3,134.9,21151.6
2016 NOV 22 19:05:13,23.9,3.8,21:14:19,4.1,137.4,134.9,21167.7
2016 NOV 22 19:05:23,23.9,3.8,21:14:24,4.1,137.4,134.9,21183.7
2016 NOV 22 19:05:33,23.9,3.8,21:14:29,4.1,137.4,134.9,21199.7
2016 NOV 22 19:05:43,23.9,3.8,21:14:35,4.1,137.4,134.9,21215.7
2016 NOV 22 19:05:53,23.8,3.7,21:14:40,4.1,137.4,134.9,21231.6
2016 NOV 22 19:06:03,23.8,3.7,21:14:46,4.1,137.4,135.0,21247.6
2016 NOV 22 19:06:13,23.8,3.7,21:14:51,4.1,137.5,135.0,21263.6
2016 NOV 22 19:06:23,23.8,3.7,21:14:56,4.2,137.5,135.0,21279.6
2016 NOV 22 19:06:33,23.8,3.7,21:15:02,4.2,137.5,135.0,21295.5
