UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 01 23:25:42,-99.6,-73.4,00:57:51,1.7,93.3,92.2,6907.5
2017 MAR 01 23:25:52,-98.9,-73.4,01:00:30,1.7,93.2,92.1,6886.6
2017 MAR 01 23:26:02,-98.3,-73.5,01:03:11,1.7,93.1,92.0,6865.6
2017 MAR 01 23:26:12,-97.7,-73.5,01:05:53,1.7,93.0,91.9,6844.7
2017 MAR 01 23:26:22,-97.0,-73.6,01:08:38,1.7,92.9,91.8,6823.7
2017 MAR 01 23:26:32,-96.4,-73.6,01:11:25,1.7,92.8,91.7,6802.8
2017 MAR 01 23:26:42,-95.7,-73.7,01:14:14,1.7,92.7,91.6,6781.8
2017 MAR 01 23:26:52,-95.0,-73.7,01:17:05,1.7,92.5,91.4,6760.8
2017 MAR 01 23:27:02,-94.4,-73.8,01:19:58,1.7,92.4,91.3,6739.9
2017 MAR 01 23:27:12,-93.7,-73.8,01:22:53,1.7,92.3,91.2,6718.9
2017 MAR 01 23:27:22,-93.0,-73.9,01:25:50,1.6,92.2,91.1,6697.9
2017 MAR 01 23:27:32,-92.3,-73.9,01:28:49,1.6,92.1,91.0,6676.9
2017 MAR 01 23:27:42,-91.6,-73.9,01:31:50,1.6,92.0,90.9,6655.9
2017 MAR 01 23:27:52,-90.8,-74.0,01:34:53,1.6,91.9,90.8,6635.0
2017 MAR 01 23:28:02,-90.1,-74.0,01:37:57,1.6,91.8,90.7,6614.0
2017 MAR 01 23:28:12,-89.4,-74.0,01:41:04,1.6,91.7,90.6,6593.0
2017 MAR 01 23:28:22,-88.6,-74.0,01:44:12,1.6,91.5,90.5,6572.0
2017 MAR 01 23:28:32,-87.9,-74.1,01:47:22,1.6,91.4,90.4,6551.0
2017 MAR 01 23:28:42,-87.1,-74.1,01:50:33,1.6,91.3,90.2,6530.0
2017 MAR 01 23:28:52,-86.4,-74.1,01:53:47,1.6,91.2,90.1,6509.1
2017 MAR 01 23:29:02,-85.6,-74.1,01:57:02,1.6,91.1,90.0,6488.1
2017 MAR 01 23:29:12,-84.8,-74.1,02:00:18,1.6,91.0,89.9,6467.1
2017 MAR 01 23:29:22,-84.0,-74.1,02:03:36,1.6,90.8,89.8,6446.1
2017 MAR 01 23:29:32,-83.2,-74.1,02:06:56,1.6,90.7,89.7,6425.1
2017 MAR 01 23:29:42,-82.4,-74.1,02:10:17,1.6,90.6,89.6,6404.2
2017 MAR 01 23:29:52,-81.6,-74.1,02:13:39,1.6,90.5,89.4,6383.2
2017 MAR 01 23:30:02,-80.8,-74.1,02:17:02,1.6,90.3,89.3,6362.2
2017 MAR 01 23:30:12,-80.0,-74.1,02:20:27,1.5,90.2,89.2,6341.2
2017 MAR 01 23:30:22,-79.2,-74.1,02:23:53,1.5,90.1,89.1,6320.3
2017 MAR 01 23:30:32,-78.4,-74.1,02:27:19,1.5,90.0,89.0,6299.3
2017 MAR 01 23:30:42,-77.5,-74.1,02:30:47,1.5,89.8,88.8,6278.4
2017 MAR 01 23:30:52,-76.7,-74.0,02:34:16,1.5,89.7,88.7,6257.4
2017 MAR 01 23:31:02,-75.9,-74.0,02:37:45,1.5,89.6,88.6,6236.5
2017 MAR 01 23:31:12,-75.1,-74.0,02:41:15,1.5,89.5,88.5,6215.5
2017 MAR 01 23:31:22,-74.2,-73.9,02:44:46,1.5,89.3,88.3,6194.6
2017 MAR 01 23:31:32,-73.4,-73.9,02:48:17,1.5,89.2,88.2,6173.6
2017 MAR 01 23:31:42,-72.5,-73.9,02:51:48,1.5,89.1,88.1,6152.7
2017 MAR 01 23:31:52,-71.7,-73.8,02:55:20,1.5,88.9,87.9,6131.8
2017 MAR 01 23:32:02,-70.8,-73.8,02:58:53,1.5,88.8,87.8,6110.9
2017 MAR 01 23:32:12,-70.0,-73.7,03:02:25,1.5,88.7,87.7,6090.0
2017 MAR 01 23:32:22,-69.2,-73.7,03:05:57,1.5,88.5,87.6,6069.1
2017 MAR 01 23:32:32,-68.3,-73.6,03:09:30,1.5,88.4,87.4,6048.2
2017 MAR 01 23:32:42,-67.5,-73.5,03:13:02,1.5,88.3,87.3,6027.4
2017 MAR 01 23:32:52,-66.6,-73.5,03:16:34,1.5,88.1,87.2,6006.5
2017 MAR 01 23:33:02,-65.8,-73.4,03:20:06,1.4,88.0,87.0,5985.7
2017 MAR 01 23:33:12,-64.9,-73.3,03:23:37,1.4,87.9,86.9,5964.8
2017 MAR 01 23:33:22,-64.1,-73.2,03:27:08,1.4,87.7,86.8,5944.0
2017 MAR 01 23:33:32,-63.3,-73.1,03:30:38,1.4,87.6,86.6,5923.2
2017 MAR 01 23:33:42,-62.4,-73.0,03:34:07,1.4,87.4,86.5,5902.4
2017 MAR 01 23:33:52,-61.6,-72.9,03:37:36,1.4,87.3,86.3,5881.6
2017 MAR 01 23:34:02,-60.8,-72.8,03:41:04,1.4,87.1,86.2,5860.8
2017 MAR 01 23:34:12,-60.0,-72.7,03:44:31,1.4,87.0,86.1,5840.1
2017 MAR 01 23:34:22,-59.1,-72.6,03:47:57,1.4,86.9,85.9,5819.3
2017 MAR 01 23:34:32,-58.3,-72.5,03:51:22,1.4,86.7,85.8,5798.6
2017 MAR 01 23:34:42,-57.5,-72.4,03:54:46,1.4,86.6,85.6,5777.9
2017 MAR 01 23:34:52,-56.7,-72.3,03:58:08,1.4,86.4,85.5,5757.2
2017 MAR 01 23:35:02,-55.9,-72.1,04:01:30,1.4,86.3,85.3,5736.5
2017 MAR 01 23:35:12,-55.1,-72.0,04:04:50,1.4,86.1,85.2,5715.8
2017 MAR 01 23:35:22,-54.3,-71.9,04:08:08,1.4,86.0,85.0,5695.2
2017 MAR 01 23:35:32,-53.6,-71.7,04:11:25,1.4,85.8,84.9,5674.6
2017 MAR 01 23:35:42,-52.8,-71.6,04:14:41,1.4,85.7,84.7,5654.0
2017 MAR 01 23:35:52,-52.0,-71.4,04:17:55,1.3,85.5,84.6,5633.4
2017 MAR 01 23:36:02,-51.3,-71.3,04:21:07,1.3,85.3,84.4,5612.9
2017 MAR 01 23:36:12,-50.5,-71.1,04:24:18,1.3,85.2,84.3,5592.3
2017 MAR 01 23:36:22,-49.8,-71.0,04:27:27,1.3,85.0,84.1,5571.8
2017 MAR 01 23:36:32,-49.0,-70.8,04:30:34,1.3,84.9,84.0,5551.3
2017 MAR 01 23:36:42,-48.3,-70.6,04:33:39,1.3,84.7,83.8,5530.9
2017 MAR 01 23:36:52,-47.6,-70.4,04:36:43,1.3,84.6,83.7,5510.5
2017 MAR 01 23:37:02,-46.8,-70.3,04:39:45,1.3,84.4,83.5,5490.1
2017 MAR 01 23:37:12,-46.1,-70.1,04:42:45,1.3,84.2,83.3,5469.7
2017 MAR 01 23:37:22,-45.4,-69.9,04:45:43,1.3,84.1,83.2,5449.3
2017 MAR 01 23:37:32,-44.7,-69.7,04:48:39,1.3,83.9,83.0,5429.0
2017 MAR 01 23:37:42,-44.1,-69.5,04:51:33,1.3,83.7,82.9,5408.7
2017 MAR 01 23:37:52,-43.4,-69.3,04:54:25,1.3,83.6,82.7,5388.5
2017 MAR 01 23:38:02,-42.7,-69.1,04:57:15,1.3,83.4,82.5,5368.2
2017 MAR 01 23:38:12,-42.1,-68.9,05:00:03,1.3,83.2,82.4,5348.0
2017 MAR 01 23:38:22,-41.4,-68.7,05:02:50,1.3,83.1,82.2,5327.9
2017 MAR 01 23:38:32,-40.8,-68.4,05:05:34,1.3,82.9,82.0,5307.7
2017 MAR 01 23:38:42,-40.1,-68.2,05:08:16,1.2,82.7,81.9,5287.7
2017 MAR 01 23:38:52,-39.5,-68.0,05:10:57,1.2,82.5,81.7,5267.6
2017 MAR 01 23:39:02,-38.9,-67.7,05:13:35,1.2,82.4,81.5,5247.6
2017 MAR 01 23:39:12,-38.3,-67.5,05:16:11,1.2,82.2,81.3,5227.6
2017 MAR 01 23:39:22,-37.7,-67.3,05:18:46,1.2,82.0,81.2,5207.7
2017 MAR 01 23:39:32,-37.1,-67.0,05:21:18,1.2,81.8,81.0,5187.8
2017 MAR 01 23:39:42,-36.5,-66.7,05:23:49,1.2,81.7,80.8,5167.9
2017 MAR 01 23:39:52,-35.9,-66.5,05:26:17,1.2,81.5,80.6,5148.1
2017 MAR 01 23:40:02,-35.3,-66.2,05:28:44,1.2,81.3,80.5,5128.4
2017 MAR 01 23:40:12,-34.8,-66.0,05:31:08,1.2,81.1,80.3,5108.6
2017 MAR 01 23:40:22,-34.2,-65.7,05:33:31,1.2,80.9,80.1,5089.0
2017 MAR 01 23:40:32,-33.7,-65.4,05:35:52,1.2,80.7,79.9,5069.3
2017 MAR 01 23:40:42,-33.1,-65.1,05:38:11,1.2,80.6,79.7,5049.8
2017 MAR 01 23:40:52,-32.6,-64.8,05:40:28,1.2,80.4,79.6,5030.2
2017 MAR 01 23:41:02,-32.1,-64.6,05:42:44,1.2,80.2,79.4,5010.7
2017 MAR 01 23:41:12,-31.6,-64.3,05:44:57,1.2,80.0,79.2,4991.3
2017 MAR 01 23:41:22,-31.1,-64.0,05:47:09,1.2,79.8,79.0,4972.0
2017 MAR 01 23:41:32,-30.5,-63.7,05:49:19,1.2,79.6,78.8,4952.6
2017 MAR 01 23:41:42,-30.1,-63.4,05:51:27,1.1,79.4,78.6,4933.4
2017 MAR 01 23:41:52,-29.6,-63.0,05:53:34,1.1,79.2,78.4,4914.2
2017 MAR 01 23:42:02,-29.1,-62.7,05:55:38,1.1,79.0,78.2,4895.0
2017 MAR 01 23:42:12,-28.6,-62.4,05:57:41,1.1,78.8,78.0,4876.0
2017 MAR 01 23:42:22,-28.2,-62.1,05:59:43,1.1,78.6,77.9,4856.9
2017 MAR 01 23:42:32,-27.7,-61.8,06:01:43,1.1,78.4,77.7,4838.0
2017 MAR 01 23:42:42,-27.2,-61.4,06:03:41,1.1,78.2,77.5,4819.1
2017 MAR 01 23:42:52,-26.8,-61.1,06:05:37,1.1,78.0,77.3,4800.3
2017 MAR 01 23:43:02,-26.4,-60.7,06:07:32,1.1,77.8,77.1,4781.5
2017 MAR 01 23:43:12,-25.9,-60.4,06:09:26,1.1,77.6,76.9,4762.8
2017 MAR 01 23:43:22,-25.5,-60.1,06:11:18,1.1,77.4,76.7,4744.2
2017 MAR 01 23:43:32,-25.1,-59.7,06:13:08,1.1,77.2,76.5,4725.7
2017 MAR 01 23:43:42,-24.7,-59.3,06:14:57,1.1,77.0,76.3,4707.2
2017 MAR 01 23:43:52,-24.3,-59.0,06:16:45,1.1,76.8,76.1,4688.8
2017 MAR 01 23:44:02,-23.9,-58.6,06:18:31,1.1,76.6,75.9,4670.5
2017 MAR 01 23:44:12,-23.5,-58.2,06:20:16,1.1,76.4,75.7,4652.3
2017 MAR 01 23:44:22,-23.1,-57.9,06:21:59,1.1,76.2,75.4,4634.1
2017 MAR 01 23:44:32,-22.7,-57.5,06:23:41,1.1,76.0,75.2,4616.0
2017 MAR 01 23:44:42,-22.3,-57.1,06:25:22,1.1,75.8,75.0,4598.0
2017 MAR 01 23:44:52,-21.9,-56.7,06:27:01,1.1,75.5,74.8,4580.1
2017 MAR 01 23:45:02,-21.6,-56.3,06:28:39,1.0,75.3,74.6,4562.3
2017 MAR 01 23:45:12,-21.2,-55.9,06:30:16,1.0,75.1,74.4,4544.6
2017 MAR 01 23:45:22,-20.8,-55.5,06:31:51,1.0,74.9,74.2,4527.0
2017 MAR 01 23:45:32,-20.5,-55.1,06:33:26,1.0,74.7,74.0,4509.4
2017 MAR 01 23:45:42,-20.1,-54.7,06:34:59,1.0,74.5,73.8,4492.0
2017 MAR 01 23:45:52,-19.8,-54.3,06:36:31,1.0,74.2,73.5,4474.6
2017 MAR 01 23:46:02,-19.5,-53.8,06:38:02,1.0,74.0,73.3,4457.4
2017 MAR 01 23:46:12,-19.1,-53.4,06:39:31,1.0,73.8,73.1,4440.3
2017 MAR 01 23:46:22,-18.8,-53.0,06:41:00,1.0,73.6,72.9,4423.2
2017 MAR 01 23:46:32,-18.5,-52.5,06:42:28,1.0,73.4,72.7,4406.3
2017 MAR 01 23:46:42,-18.2,-52.1,06:43:54,1.0,73.1,72.5,4389.5
2017 MAR 01 23:46:52,-17.8,-51.7,06:45:20,1.0,72.9,72.2,4372.7
2017 MAR 01 23:47:02,-17.5,-51.2,06:46:44,1.0,72.7,72.0,4356.1
2017 MAR 01 23:47:12,-17.2,-50.8,06:48:07,1.0,72.5,71.8,4339.6
2017 MAR 01 23:47:22,-16.9,-50.3,06:49:30,1.0,72.3,71.6,4323.3
2017 MAR 01 23:47:32,-16.6,-49.8,06:50:51,1.0,72.0,71.4,4307.0
2017 MAR 01 23:47:42,-16.3,-49.4,06:52:12,1.0,71.8,71.1,4290.9
2017 MAR 01 23:47:52,-16.0,-48.9,06:53:32,1.0,71.6,70.9,4274.8
2017 MAR 01 23:48:02,-15.8,-48.4,06:54:50,1.0,71.4,70.7,4259.0
2017 MAR 01 23:48:12,-15.5,-47.9,06:56:08,1.0,71.1,70.5,4243.2
2017 MAR 01 23:48:22,-15.2,-47.5,06:57:25,1.0,70.9,70.2,4227.6
2017 MAR 01 23:48:32,-14.9,-47.0,06:58:41,1.0,70.7,70.0,4212.1
2017 MAR 01 23:48:42,-14.6,-46.5,06:59:57,1.0,70.4,69.8,4196.7
2017 MAR 01 23:48:52,-14.4,-46.0,07:01:11,1.0,70.2,69.6,4181.5
2017 MAR 01 23:49:02,-14.1,-45.5,07:02:25,1.0,70.0,69.3,4166.4
2017 MAR 01 23:49:12,-13.8,-45.0,07:03:38,1.0,69.8,69.1,4151.4
2017 MAR 01 23:49:22,-13.6,-44.5,07:04:50,1.0,69.5,68.9,4136.6
2017 MAR 01 23:49:32,-13.3,-43.9,07:06:01,1.0,69.3,68.7,4122.0
2017 MAR 01 23:49:42,-13.1,-43.4,07:07:12,1.0,69.1,68.4,4107.5
2017 MAR 01 23:49:52,-12.8,-42.9,07:08:22,1.0,68.9,68.2,4093.1
2017 MAR 01 23:50:02,-12.6,-42.4,07:09:31,1.0,68.6,68.0,4078.9
2017 MAR 01 23:50:12,-12.3,-41.8,07:10:40,1.0,68.4,67.8,4064.8
2017 MAR 01 23:50:22,-12.1,-41.3,07:11:48,1.0,68.2,67.6,4051.0
2017 MAR 01 23:50:32,-11.8,-40.7,07:12:55,1.0,68.0,67.3,4037.2
2017 MAR 01 23:50:42,-11.6,-40.2,07:14:01,1.0,67.7,67.1,4023.7
2017 MAR 01 23:50:52,-11.4,-39.6,07:15:07,1.0,67.5,66.9,4010.3
2017 MAR 01 23:51:02,-11.1,-39.1,07:16:13,0.9,67.3,66.7,3997.0
2017 MAR 01 23:51:12,-10.9,-38.5,07:17:18,0.9,67.1,66.4,3984.0
2017 MAR 01 23:51:22,-10.7,-38.0,07:18:22,0.9,66.8,66.2,3971.1
2017 MAR 01 23:51:32,-10.5,-37.4,07:19:25,0.9,66.6,66.0,3958.4
2017 MAR 01 23:51:42,-10.2,-36.8,07:20:28,0.9,66.4,65.8,3945.8
2017 MAR 01 23:51:52,-10.0,-36.2,07:21:31,0.9,66.2,65.6,3933.5
2017 MAR 01 23:52:02,-9.8,-35.7,07:22:33,0.9,66.0,65.4,3921.3
2017 MAR 01 23:52:12,-9.6,-35.1,07:23:34,0.9,65.8,65.2,3909.4
2017 MAR 01 23:52:22,-9.4,-34.5,07:24:35,0.9,65.5,64.9,3897.6
2017 MAR 01 23:52:32,-9.2,-33.9,07:25:36,1.0,65.3,64.7,3886.0
2017 MAR 01 23:52:42,-8.9,-33.3,07:26:36,1.0,65.1,64.5,3874.6
2017 MAR 01 23:52:52,-8.7,-32.7,07:27:35,1.0,64.9,64.3,3863.4
2017 MAR 01 23:53:02,-8.5,-32.1,07:28:35,1.0,64.7,64.1,3852.4
2017 MAR 01 23:53:12,-8.3,-31.5,07:29:33,1.0,64.5,63.9,3841.6
2017 MAR 01 23:53:22,-8.1,-30.9,07:30:31,1.0,64.3,63.7,3831.0
2017 MAR 01 23:53:32,-7.9,-30.2,07:31:29,1.0,64.1,63.5,3820.6
2017 MAR 01 23:53:42,-7.7,-29.6,07:32:26,1.0,63.9,63.3,3810.4
2017 MAR 01 23:53:52,-7.5,-29.0,07:33:23,1.0,63.7,63.1,3800.5
2017 MAR 01 23:54:02,-7.3,-28.4,07:34:20,1.0,63.5,62.9,3790.7
2017 MAR 01 23:54:12,-7.1,-27.7,07:35:16,1.0,63.3,62.7,3781.2
2017 MAR 01 23:54:22,-7.0,-27.1,07:36:12,1.0,63.1,62.6,3771.9
2017 MAR 01 23:54:32,-6.8,-26.4,07:37:08,1.0,62.9,62.4,3762.8
2017 MAR 01 23:54:42,-6.6,-25.8,07:38:03,1.0,62.8,62.2,3753.9
2017 MAR 01 23:54:52,-6.4,-25.2,07:38:57,1.0,62.6,62.0,3745.3
2017 MAR 01 23:55:02,-6.2,-24.5,07:39:52,1.0,62.4,61.8,3736.8
2017 MAR 01 23:55:12,-6.0,-23.8,07:40:46,1.0,62.2,61.7,3728.7
2017 MAR 01 23:55:22,-5.8,-23.2,07:41:40,1.0,62.1,61.5,3720.7
2017 MAR 01 23:55:32,-5.6,-22.5,07:42:33,1.0,61.9,61.3,3713.0
2017 MAR 01 23:55:42,-5.5,-21.9,07:43:27,1.0,61.7,61.2,3705.5
2017 MAR 01 23:55:52,-5.3,-21.2,07:44:20,1.0,61.6,61.0,3698.3
2017 MAR 01 23:56:02,-5.1,-20.5,07:45:12,1.0,61.4,60.9,3691.3
2017 MAR 01 23:56:12,-4.9,-19.8,07:46:05,1.0,61.3,60.7,3684.5
2017 MAR 01 23:56:22,-4.7,-19.2,07:46:57,1.0,61.1,60.6,3678.0
2017 MAR 01 23:56:32,-4.6,-18.5,07:47:49,1.0,61.0,60.4,3671.8
2017 MAR 01 23:56:42,-4.4,-17.8,07:48:41,1.0,60.8,60.3,3665.8
2017 MAR 01 23:56:52,-4.2,-17.1,07:49:32,1.0,60.7,60.2,3660.0
2017 MAR 01 23:57:02,-4.1,-16.4,07:50:24,1.0,60.6,60.1,3654.5
2017 MAR 01 23:57:12,-3.9,-15.8,07:51:15,1.0,60.5,59.9,3649.3
2017 MAR 01 23:57:22,-3.7,-15.1,07:52:06,1.0,60.3,59.8,3644.3
2017 MAR 01 23:57:32,-3.5,-14.4,07:52:56,1.0,60.2,59.7,3639.5
2017 MAR 01 23:57:42,-3.4,-13.7,07:53:47,1.0,60.1,59.6,3635.0
2017 MAR 01 23:57:52,-3.2,-13.0,07:54:37,1.0,60.0,59.5,3630.8
2017 MAR 01 23:58:02,-3.0,-12.3,07:55:28,1.1,59.9,59.4,3626.9
2017 MAR 01 23:58:12,-2.9,-11.6,07:56:18,1.1,59.8,59.3,3623.2
2017 MAR 01 23:58:22,-2.7,-10.9,07:57:08,1.1,59.7,59.2,3619.7
