UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 18:38:20,-140.6,-26.8,14:59:47,80.6,124.8,44.2,28381.6
2017 MAR 05 18:38:30,-136.1,-27.6,15:17:47,76.4,124.7,48.3,28374.3
2017 MAR 05 18:38:40,-132.7,-28.1,15:31:32,73.3,124.6,51.4,28366.9
2017 MAR 05 18:38:50,-129.9,-28.5,15:43:08,70.6,124.5,53.9,28359.6
2017 MAR 05 18:39:00,-127.4,-28.8,15:53:22,68.2,124.4,56.2,28352.3
2017 MAR 05 18:39:10,-125.1,-29.0,16:02:38,66.1,124.3,58.2,28344.9
2017 MAR 05 18:39:20,-123.0,-29.2,16:11:11,64.1,124.2,60.1,28337.6
2017 MAR 05 18:39:30,-121.0,-29.3,16:19:09,62.3,124.1,61.8,28330.2
2017 MAR 05 18:39:40,-119.2,-29.4,16:26:39,60.6,124.0,63.5,28322.9
2017 MAR 05 18:39:50,-117.5,-29.5,16:33:45,58.9,123.9,65.0,28315.5
2017 MAR 05 18:40:00,-115.8,-29.6,16:40:31,57.3,123.8,66.5,28308.1
2017 MAR 05 18:40:10,-114.3,-29.6,16:46:59,55.8,123.7,67.9,28300.8
2017 MAR 05 18:40:20,-112.7,-29.7,16:53:12,54.4,123.6,69.2,28293.4
2017 MAR 05 18:40:30,-111.3,-29.7,16:59:12,53.0,123.5,70.5,28286.0
2017 MAR 05 18:40:40,-109.9,-29.7,17:04:59,51.7,123.4,71.8,28278.6
2017 MAR 05 18:40:50,-108.5,-29.7,17:10:35,50.3,123.3,73.0,28271.2
2017 MAR 05 18:41:00,-107.2,-29.6,17:16:01,49.1,123.2,74.1,28263.8
2017 MAR 05 18:41:10,-105.9,-29.6,17:21:18,47.8,123.1,75.3,28256.4
2017 MAR 05 18:41:20,-104.7,-29.6,17:26:27,46.6,123.0,76.4,28249.0
