UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 23:14:32,-85.0,-69.0,23:10:49,0.7,98.0,97.4,7840.1
2017 MAR 05 23:14:42,-84.8,-69.1,23:12:07,0.7,97.9,97.3,7819.5
2017 MAR 05 23:14:52,-84.5,-69.2,23:13:27,0.7,97.8,97.2,7798.9
2017 MAR 05 23:15:02,-84.2,-69.3,23:14:47,0.7,97.7,97.1,7778.3
2017 MAR 05 23:15:12,-83.9,-69.4,23:16:09,0.6,97.7,97.1,7757.7
2017 MAR 05 23:15:22,-83.6,-69.5,23:17:32,0.6,97.6,97.0,7737.1
2017 MAR 05 23:15:32,-83.3,-69.6,23:18:56,0.6,97.5,96.9,7716.5
2017 MAR 05 23:15:42,-82.9,-69.7,23:20:21,0.6,97.4,96.9,7695.8
2017 MAR 05 23:15:52,-82.6,-69.8,23:21:48,0.6,97.3,96.8,7675.2
2017 MAR 05 23:16:02,-82.3,-69.9,23:23:16,0.6,97.3,96.7,7654.5
2017 MAR 05 23:16:12,-82.0,-70.0,23:24:45,0.6,97.2,96.6,7633.8
2017 MAR 05 23:16:22,-81.6,-70.1,23:26:15,0.6,97.1,96.6,7613.2
2017 MAR 05 23:16:32,-81.3,-70.2,23:27:47,0.6,97.0,96.5,7592.5
2017 MAR 05 23:16:42,-80.9,-70.2,23:29:20,0.6,96.9,96.4,7571.8
2017 MAR 05 23:16:52,-80.6,-70.3,23:30:55,0.6,96.9,96.3,7551.1
2017 MAR 05 23:17:02,-80.2,-70.4,23:32:31,0.6,96.8,96.3,7530.3
2017 MAR 05 23:17:12,-79.9,-70.5,23:34:08,0.6,96.7,96.2,7509.6
2017 MAR 05 23:17:22,-79.5,-70.6,23:35:47,0.6,96.6,96.1,7488.9
2017 MAR 05 23:17:32,-79.1,-70.7,23:37:28,0.5,96.5,96.0,7468.1
2017 MAR 05 23:17:42,-78.7,-70.8,23:39:10,0.5,96.4,95.9,7447.3
2017 MAR 05 23:17:52,-78.3,-70.9,23:40:53,0.5,96.4,95.9,7426.6
2017 MAR 05 23:18:02,-77.9,-71.0,23:42:38,0.5,96.3,95.8,7405.8
2017 MAR 05 23:18:12,-77.5,-71.1,23:44:25,0.5,96.2,95.7,7385.0
2017 MAR 05 23:18:22,-77.1,-71.2,23:46:13,0.5,96.1,95.6,7364.2
2017 MAR 05 23:18:32,-76.7,-71.3,23:48:03,0.5,96.0,95.5,7343.4
2017 MAR 05 23:18:42,-76.3,-71.4,23:49:54,0.5,95.9,95.5,7322.6
2017 MAR 05 23:18:52,-75.9,-71.4,23:51:48,0.5,95.8,95.4,7301.8
2017 MAR 05 23:19:02,-75.4,-71.5,23:53:43,0.5,95.8,95.3,7280.9
2017 MAR 05 23:19:12,-75.0,-71.6,23:55:39,0.5,95.7,95.2,7260.1
2017 MAR 05 23:19:22,-74.5,-71.7,23:57:38,0.5,95.6,95.1,7239.3
2017 MAR 05 23:19:32,-74.1,-71.8,23:59:38,0.5,95.5,95.0,7218.4
2017 MAR 05 23:19:42,-73.6,-71.9,00:01:40,0.5,95.4,95.0,7197.6
2017 MAR 05 23:19:52,-73.1,-72.0,00:03:44,0.4,95.3,94.9,7176.7
2017 MAR 05 23:20:02,-72.6,-72.1,00:05:50,0.4,95.2,94.8,7155.8
2017 MAR 05 23:20:12,-72.1,-72.1,00:07:58,0.4,95.1,94.7,7134.9
2017 MAR 05 23:20:22,-71.6,-72.2,00:10:07,0.4,95.0,94.6,7114.0
