AOTF_frequency_khz	Diffraction_order
12265	96
12413	97
12561	98
12709	99
12857	100
13004	101
13152	102
13300	103
13447	104
13595	105
13742	106
13890	107
14038	108
14185	109
14332	110
14479	111
14627	112
14774	113
14921	114
15069	115
15216	116
15363	117
15510	118
15657	119
15804	120
15951	121
16098	122
16245	123
16392	124
16539	125
16686	126
16832	127
16979	128
17126	129
17273	130
17419	131
17566	132
17712	133
17859	134
18005	135
18152	136
18298	137
18445	138
18591	139
18737	140
18883	141
19030	142
19176	143
19322	144
19468	145
19614	146
19761	147
19907	148
20052	149
20198	150
20344	151
20490	152
20636	153
20782	154
20927	155
21074	156
21219	157
21365	158
21510	159
21656	160
21802	161
21947	162
22093	163
22238	164
22384	165
22529	166
22674	167
22820	168
22965	169
23110	170
23255	171
23401	172
23546	173
23691	174
23836	175
23981	176
24126	177
24271	178
24416	179
24561	180
24706	181
24851	182
24996	183
25140	184
25285	185
25430	186
25575	187
25719	188
25864	189
26008	190
26153	191
26297	192
26442	193
26586	194
26731	195
26875	196
27019	197
27163	198
27308	199
27452	200
27596	201
27740	202
27884	203
28029	204
28173	205
28317	206
28461	207
28605	208
28749	209
28893	210
29036	211
29181	212
29324	213
29468	214
29611	215
29755	216
29899	217
30043	218
30186	219
30329	220
30474	221
30617	222
30760	223
30903	224
31047	225
