Diffraction_order	Wavenumber_start_cm-1	Wavenumber_end_cm-1
210	4719.42	4757.04
209	4696.95	4734.38
208	4674.47	4711.73
207	4652.00	4689.08
206	4629.52	4666.43
205	4607.05	4643.77
204	4584.58	4621.12
203	4562.10	4598.47
202	4539.63	4575.82
201	4517.16	4553.16
200	4494.68	4530.51
199	4472.21	4507.86
198	4449.74	4485.21
197	4427.26	4462.55
196	4404.79	4439.90
195	4382.32	4417.25
194	4359.84	4394.60
193	4337.37	4371.94
192	4314.90	4349.29
191	4292.42	4326.64
190	4269.95	4303.99
189	4247.48	4281.33
188	4225.00	4258.68
187	4202.53	4236.03
186	4180.06	4213.37
185	4157.58	4190.72
184	4135.11	4168.07
183	4112.64	4145.42
182	4090.16	4122.76
181	4067.69	4100.11
180	4045.22	4077.46
179	4022.74	4054.81
178	4000.27	4032.15
177	3977.80	4009.50
176	3955.32	3986.85
175	3932.85	3964.20
174	3910.38	3941.54
173	3887.90	3918.89
172	3865.43	3896.24
171	3842.96	3873.59
170	3820.48	3850.93
169	3798.01	3828.28
168	3775.53	3805.63
167	3753.06	3782.98
166	3730.59	3760.32
165	3708.11	3737.67
164	3685.64	3715.02
163	3663.17	3692.37
162	3640.69	3669.71
161	3618.22	3647.06
160	3595.75	3624.41
159	3573.27	3601.76
158	3550.80	3579.10
157	3528.33	3556.45
156	3505.85	3533.80
155	3483.38	3511.15
154	3460.91	3488.49
153	3438.43	3465.84
152	3415.96	3443.19
151	3393.49	3420.54
150	3371.01	3397.88
149	3348.54	3375.23
148	3326.07	3352.58
147	3303.59	3329.93
146	3281.12	3307.27
145	3258.65	3284.62
144	3236.17	3261.97
143	3213.70	3239.32
142	3191.23	3216.66
141	3168.75	3194.01
140	3146.28	3171.36
139	3123.81	3148.70
138	3101.33	3126.05
137	3078.86	3103.40
136	3056.39	3080.75
135	3033.91	3058.09
134	3011.44	3035.44
133	2988.97	3012.79
132	2966.49	2990.14
131	2944.02	2967.48
130	2921.54	2944.83
129	2899.07	2922.18
128	2876.60	2899.53
127	2854.12	2876.87
126	2831.65	2854.22
125	2809.18	2831.57
124	2786.70	2808.92
123	2764.23	2786.26
122	2741.76	2763.61
121	2719.28	2740.96
120	2696.81	2718.31
119	2674.34	2695.65
118	2651.86	2673.00
117	2629.39	2650.35
116	2606.92	2627.70
115	2584.44	2605.04
114	2561.97	2582.39
113	2539.50	2559.74
112	2517.02	2537.09
111	2494.55	2514.43
110	2472.08	2491.78
109	2449.60	2469.13
108	2427.13	2446.48
107	2404.66	2423.82
106	2382.18	2401.17
105	2359.71	2378.52
104	2337.24	2355.87
103	2314.76	2333.21
102	2292.29	2310.56
101	2269.82	2287.91
100	2247.34	2265.26
99	2224.87	2242.60
98	2202.40	2219.95
97	2179.92	2197.30
