MASN/MDSN count,MASN(n) equator crossing time,MDSN(n) equator crossing time,ESA delimited orbits: orbit duration (s) ((MASN(n+1)-1s)-MASN(n))
1426,2018 MAR 24 10:31:45,2018 MAR 24 11:30:07,7494
1427,2018 MAR 24 12:36:40,2018 MAR 24 13:35:00,7493
1428,2018 MAR 24 14:41:34,2018 MAR 24 15:39:53,7495
1429,2018 MAR 24 16:46:30,2018 MAR 24 17:44:51,7498
1430,2018 MAR 24 18:51:29,2018 MAR 24 19:49:49,7499
1431,2018 MAR 24 20:56:29,2018 MAR 24 21:54:47,7497
1432,2018 MAR 24 23:01:27,2018 MAR 24 23:59:41,7493
1433,2018 MAR 25 01:06:21,2018 MAR 25 02:04:35,7493
1434,2018 MAR 25 03:11:15,2018 MAR 25 04:09:29,7497
1435,2018 MAR 25 05:16:13,2018 MAR 25 06:14:26,7499
1436,2018 MAR 25 07:21:13,2018 MAR 25 08:19:24,7497
1437,2018 MAR 25 09:26:11,2018 MAR 25 10:24:21,7494
1438,2018 MAR 25 11:31:06,2018 MAR 25 12:29:16,7494
1439,2018 MAR 25 13:36:01,2018 MAR 25 14:34:08,7494
1440,2018 MAR 25 15:40:56,2018 MAR 25 16:39:03,7495
1441,2018 MAR 25 17:45:52,2018 MAR 25 18:44:01,7498
1442,2018 MAR 25 19:50:51,2018 MAR 25 20:48:59,7499
1443,2018 MAR 25 21:55:51,2018 MAR 25 22:53:56,7496
1444,2018 MAR 26 00:00:48,2018 MAR 26 00:58:50,7493
1445,2018 MAR 26 02:05:42,2018 MAR 26 03:03:44,7492
1446,2018 MAR 26 04:10:35,2018 MAR 26 05:08:38,7498
1447,2018 MAR 26 06:15:34,2018 MAR 26 07:13:35,7498
1448,2018 MAR 26 08:20:33,2018 MAR 26 09:18:33,7497
1449,2018 MAR 26 10:25:31,2018 MAR 26 11:23:30,7494
1450,2018 MAR 26 12:30:26,2018 MAR 26 13:28:24,7493
1451,2018 MAR 26 14:35:20,2018 MAR 26 15:33:16,7494
1452,2018 MAR 26 16:40:15,2018 MAR 26 17:38:11,7496
