Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
4,4,1,2018 MAR 24 11:25:25,2018 MAR 24 13:30:24,7499,2018 MAR 24 11:23:25,2018 MAR 24 12:28:11,3886,2018 MAR 24 12:28:12,2018 MAR 24 13:28:24,3612,59.0292,2018 MAR 24 13:00:51
4,4,2,2018 MAR 24 13:30:25,2018 MAR 24 15:35:26,7501,2018 MAR 24 13:28:25,2018 MAR 24 14:33:15,3890,2018 MAR 24 14:33:16,2018 MAR 24 15:33:26,3610,59.1013,2018 MAR 24 15:05:54
4,4,3,2018 MAR 24 15:35:27,2018 MAR 24 17:40:31,7504,2018 MAR 24 15:33:27,2018 MAR 24 16:38:23,3896,2018 MAR 24 16:38:24,2018 MAR 24 17:38:31,3607,59.1702,2018 MAR 24 17:10:59
4,4,4,2018 MAR 24 17:40:32,2018 MAR 24 19:45:38,7506,2018 MAR 24 17:38:32,2018 MAR 24 18:43:34,3902,2018 MAR 24 18:43:35,2018 MAR 24 19:43:38,3603,59.2639,2018 MAR 24 19:16:06
4,4,5,2018 MAR 24 19:45:39,2018 MAR 24 21:50:44,7505,2018 MAR 24 19:43:39,2018 MAR 24 20:48:45,3906,2018 MAR 24 20:48:46,2018 MAR 24 21:48:44,3598,59.3793,2018 MAR 24 21:21:13
4,4,6,2018 MAR 24 21:50:45,2018 MAR 24 23:55:47,7502,2018 MAR 24 21:48:45,2018 MAR 24 22:53:54,3909,2018 MAR 24 22:53:55,2018 MAR 24 23:53:47,3592,59.5207,2018 MAR 24 23:26:18
4,4,7,2018 MAR 24 23:55:48,2018 MAR 25 02:00:48,7500,2018 MAR 24 23:53:48,2018 MAR 25 00:58:59,3911,2018 MAR 25 00:59:00,2018 MAR 25 01:58:48,3588,59.6494,2018 MAR 25 01:31:20
4,4,8,2018 MAR 25 02:00:49,2018 MAR 25 04:05:51,7502,2018 MAR 25 01:58:49,2018 MAR 25 03:04:03,3914,2018 MAR 25 03:04:04,2018 MAR 25 04:03:51,3587,59.7148,2018 MAR 25 03:36:22
4,4,9,2018 MAR 25 04:05:52,2018 MAR 25 06:10:57,7505,2018 MAR 25 04:03:52,2018 MAR 25 05:09:13,3921,2018 MAR 25 05:09:14,2018 MAR 25 06:08:57,3583,59.7541,2018 MAR 25 05:41:29
4,4,10,2018 MAR 25 06:10:58,2018 MAR 25 08:16:04,7506,2018 MAR 25 06:08:58,2018 MAR 25 07:14:25,3927,2018 MAR 25 07:14:26,2018 MAR 25 08:14:04,3578,59.8423,2018 MAR 25 07:46:37
4,4,11,2018 MAR 25 08:16:05,2018 MAR 25 10:21:10,7505,2018 MAR 25 08:14:05,2018 MAR 25 09:19:35,3930,2018 MAR 25 09:19:36,2018 MAR 25 10:19:10,3574,59.9733,2018 MAR 25 09:51:44
3,3,12,2018 MAR 25 10:21:11,2018 MAR 25 12:26:12,7501,2018 MAR 25 10:19:11,2018 MAR 25 11:24:42,3931,2018 MAR 25 11:24:43,2018 MAR 25 12:24:12,3569,60.1072,2018 MAR 25 11:56:48
4,4,13,2018 MAR 25 12:26:13,2018 MAR 25 14:31:13,7500,2018 MAR 25 12:24:13,2018 MAR 25 13:29:47,3934,2018 MAR 25 13:29:48,2018 MAR 25 14:29:13,3565,60.1983,2018 MAR 25 14:01:50
4,4,14,2018 MAR 25 14:31:14,2018 MAR 25 16:36:16,7502,2018 MAR 25 14:29:14,2018 MAR 25 15:34:52,3938,2018 MAR 25 15:34:53,2018 MAR 25 16:34:16,3563,60.238,2018 MAR 25 16:06:53
4,4,15,2018 MAR 25 16:36:17,2018 MAR 25 18:41:24,7507,2018 MAR 25 16:34:17,2018 MAR 25 17:40:01,3944,2018 MAR 25 17:40:02,2018 MAR 25 18:39:24,3562,60.2888,2018 MAR 25 18:12:00
4,4,16,2018 MAR 25 18:41:25,2018 MAR 25 20:46:31,7506,2018 MAR 25 18:39:25,2018 MAR 25 19:45:13,3948,2018 MAR 25 19:45:14,2018 MAR 25 20:44:31,3557,60.3669,2018 MAR 25 20:17:07
4,4,17,2018 MAR 25 20:46:32,2018 MAR 25 22:51:37,7505,2018 MAR 25 20:44:32,2018 MAR 25 21:50:25,3953,2018 MAR 25 21:50:26,2018 MAR 25 22:49:37,3551,60.4672,2018 MAR 25 22:22:13
3,3,18,2018 MAR 25 22:51:38,2018 MAR 26 00:56:40,7502,2018 MAR 25 22:49:38,2018 MAR 25 23:55:33,3955,2018 MAR 25 23:55:34,2018 MAR 26 00:54:40,3546,60.585,2018 MAR 26 00:27:18
