Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,2,1830,0,0,0,1,0,2018 APR 21 20:21:07,2018 APR 21 20:35:39,2018 APR 21 20:21:17,2018 APR 21 20:35:39,2018 APR 21 20:31:17,2018 APR 21 20:35:39,2018 APR 21 20:35:09,77.1628,8.967,2018 APR 21 20:31:47,78.7202,-2.961,2018 APR 21 20:32:22,14.0047,2442,2.9122,163.1214,26.2855,11.0933,37.2412,10,640,675,30,30,862,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,262,327,1140,1400002C000A028002A31E1E035E000109D009D0000000000000000000000000000000000262010601470474
1,1,2,0,4,1832,0,0,0,1,0,2018 APR 22 00:16:47,2018 APR 22 00:31:20,2018 APR 22 00:16:57,2018 APR 22 00:31:20,2018 APR 22 00:26:57,2018 APR 22 00:31:20,2018 APR 22 00:30:50,77.3648,-48.8147,2018 APR 22 00:27:27,78.9568,-61.5481,2018 APR 22 00:28:03,14.5082,2440,2.8297,163.2088,26.3802,11.1356,37.3776,10,640,676,30,30,863,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,263,327,1143,1400002C000A028002A41E1E035F000109D009D0000000000000000000000000000000000262010701470477
1,1,3,0,10,1838,0,0,0,1,0,2018 APR 22 12:04:00,2018 APR 22 12:18:34,2018 APR 22 12:04:10,2018 APR 22 12:18:34,2018 APR 22 12:14:10,2018 APR 22 12:18:34,2018 APR 22 12:18:04,77.9235,137.8614,2018 APR 22 12:14:40,80.1083,125.0224,2018 APR 22 12:15:16,16.0864,2429,2.7403,163.4715,26.4748,11.178,37.5141,10,640,676,30,30,864,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,264,327,1145,1400002C000A028002A41E1E0360000109D009D0000000000000000000000000000000000262010801470479
1,1,4,0,14,1842,0,0,0,1,0,2018 APR 22 19:55:31,2018 APR 22 20:10:07,2018 APR 22 19:55:41,2018 APR 22 20:10:07,2018 APR 22 20:05:41,2018 APR 22 20:10:07,2018 APR 22 20:09:37,78.2318,22.458,2018 APR 22 20:06:11,80.6895,8.6836,2018 APR 22 20:06:47,17.1519,2423,2.6333,163.6467,26.6641,11.2627,37.7869,10,640,676,30,30,866,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,266,327,1149,1400002C000A028002A41E1E0362000109D009D0000000000000000000000000000000000262010A0147047D
1,1,5,0,16,1844,0,0,0,1,0,2018 APR 22 23:51:11,2018 APR 23 00:05:48,2018 APR 22 23:51:21,2018 APR 23 00:05:48,2018 APR 23 00:01:21,2018 APR 23 00:05:48,2018 APR 23 00:05:18,78.4681,-35.5441,2018 APR 23 00:01:51,80.2851,-53.4387,2018 APR 23 00:02:27,17.6611,2421,2.315,163.7344,26.7587,11.305,37.9234,10,640,676,30,30,867,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,267,327,1151,1400002C000A028002A41E1E0363000109D009D0000000000000000000000000000000000262010B0147047F
1,1,6,0,24,1852,0,0,0,1,0,2018 APR 23 15:34:01,2018 APR 23 15:48:41,2018 APR 23 15:34:11,2018 APR 23 15:48:41,2018 APR 23 15:44:11,2018 APR 23 15:48:41,2018 APR 23 15:48:11,79.1044,93.4162,2018 APR 23 15:44:41,80.6997,70.3209,2018 APR 23 15:45:18,19.746,2405,1.8606,164.0852,27.0427,11.432,38.3327,10,640,677,30,30,870,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,270,327,1158,1400002C000A028002A51E1E0366000109D009D0000000000000000000000000000000000262010E01470486
1,1,7,0,28,1856,0,0,0,1,0,2018 APR 23 23:25:32,2018 APR 23 23:40:13,2018 APR 23 23:25:42,2018 APR 23 23:40:13,2018 APR 23 23:35:42,2018 APR 23 23:40:13,2018 APR 23 23:39:43,79.5136,-22.6232,2018 APR 23 23:36:12,82.0294,-45.1171,2018 APR 23 23:36:49,20.8099,2397,1.8136,164.2608,27.1373,11.4744,38.4691,10,640,677,30,30,871,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,271,327,1160,1400002C000A028002A51E1E0367000109D009D0000000000000000000000000000000000262010F01470488
1,1,8,0,34,1862,0,0,0,1,0,2018 APR 24 11:12:43,2018 APR 24 11:27:28,2018 APR 24 11:12:53,2018 APR 24 11:27:28,2018 APR 24 11:22:53,2018 APR 24 11:27:28,2018 APR 24 11:26:58,79.9614,163.9324,2018 APR 24 11:23:23,81.6836,134.8019,2018 APR 24 11:24:01,22.3883,2383,1.2803,164.5243,27.5159,11.6437,39.0149,10,640,678,30,30,875,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,275,327,1169,1400002C000A028002A61E1E036B000109D009D0000000000000000000000000000000000262011301470491
1,1,9,0,40,1868,0,0,0,1,0,2018 APR 24 22:59:51,2018 APR 24 23:14:38,2018 APR 24 23:00:01,2018 APR 24 23:14:38,2018 APR 24 23:10:01,2018 APR 24 23:14:38,2018 APR 24 23:14:08,80.5021,-10.1659,2018 APR 24 23:10:31,82.4121,-43.2854,2018 APR 24 23:11:09,23.9704,2368,0.87917,164.788,27.7052,11.7284,39.2877,10,640,678,30,30,877,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,277,327,1173,1400002C000A028002A61E1E036D000109D009D0000000000000000000000000000000000262011501470495
1,1,10,0,46,1874,0,0,0,1,0,2018 APR 25 10:46:59,2018 APR 25 11:01:50,2018 APR 25 10:47:09,2018 APR 25 11:01:50,2018 APR 25 10:57:09,2018 APR 25 11:01:50,2018 APR 25 11:01:20,80.9303,176.1308,2018 APR 25 10:57:39,82.2646,137.5206,2018 APR 25 10:58:18,25.5396,2352,0.40417,165.052,28.0837,11.8978,39.8335,10,640,679,30,30,881,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,281,327,1182,1400002C000A028002A71E1E0371000109D009D000000000000000000000000000000000026201190147049E
1,1,11,0,48,1876,0,0,0,1,0,2018 APR 25 14:42:36,2018 APR 25 14:57:27,2018 APR 25 14:42:46,2018 APR 25 14:57:27,2018 APR 25 14:52:46,2018 APR 25 14:57:27,2018 APR 25 14:56:57,81.1174,117.9225,2018 APR 25 14:53:16,83.3453,78.2828,2018 APR 25 14:53:55,26.0491,2347,0.27722,165.14,28.0837,11.8978,39.8335,10,640,679,30,30,881,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,281,327,1182,1400002C000A028002A71E1E0371000109D009D000000000000000000000000000000000026201190147049E
