Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,9,1836,0,0,0,1,0,2018 APR 22 09:21:52,2018 APR 22 09:36:44,2018 APR 22 09:22:02,2018 APR 22 09:36:44,2018 APR 22 09:32:02,2018 APR 22 09:36:44,2018 APR 22 09:32:32,-69.275,14.2562,2018 APR 22 09:36:14,-66.3094,19.773,2018 APR 22 09:35:36,15.778,2431,17.1536,163.4127,28.1784,11.9401,39.9699,10,640,824,30,30,882,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,282,327,1074,1400002C000A028003381E1E0372000109D009D0000000000000000000000000000000000262011A01470432
1,1,2,0,19,1846,0,0,0,1,0,2018 APR 23 05:00:38,2018 APR 23 05:15:34,2018 APR 23 05:00:48,2018 APR 23 05:15:34,2018 APR 23 05:10:48,2018 APR 23 05:15:34,2018 APR 23 05:11:18,-68.5984,88.6052,2018 APR 23 05:15:04,-64.9716,94.2288,2018 APR 23 05:14:25,18.394,2415,17.2406,163.8509,28.5569,12.1095,40.5157,10,640,827,30,30,886,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,286,327,1085,1400002C000A0280033B1E1E0376000109D009D0000000000000000000000000000000000262011E0147043D
1,1,3,0,21,1848,0,0,0,1,0,2018 APR 23 08:56:29,2018 APR 23 09:11:25,2018 APR 23 08:56:39,2018 APR 23 09:11:25,2018 APR 23 09:06:39,2018 APR 23 09:11:25,2018 APR 23 09:07:09,-68.5159,31.3923,2018 APR 23 09:10:55,-64.427,33.9268,2018 APR 23 09:10:17,18.9281,2410,17.0464,163.9386,28.5569,12.1095,40.5157,10,640,828,30,30,886,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,286,327,1086,1400002C000A0280033C1E1E0376000109D009D0000000000000000000000000000000000262011E0147043E
1,1,4,0,27,1854,0,0,0,1,0,2018 APR 23 20:43:47,2018 APR 23 20:58:46,2018 APR 23 20:43:57,2018 APR 23 20:58:46,2018 APR 23 20:53:57,2018 APR 23 20:58:46,2018 APR 23 20:54:27,-68.0734,-140.0206,2018 APR 23 20:58:16,-63.7663,-135.7707,2018 APR 23 20:57:37,20.498,2399,17.2081,164.202,28.8409,12.2365,40.925,10,640,830,30,30,889,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,289,327,1094,1400002C000A0280033E1E1E0379000109D009D0000000000000000000000000000000000262012101470446
1,1,5,0,31,1858,0,0,0,1,0,2018 APR 24 04:35:16,2018 APR 24 04:50:17,2018 APR 24 04:35:26,2018 APR 24 04:50:17,2018 APR 24 04:45:26,2018 APR 24 04:50:17,2018 APR 24 04:45:56,-67.7329,105.7382,2018 APR 24 04:49:47,-63.2997,111.5323,2018 APR 24 04:49:07,21.5348,2391,17.3439,164.3776,29.0301,12.3212,41.1978,10,640,831,30,30,891,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,291,327,1099,1400002C000A0280033F1E1E037B000109D009D000000000000000000000000000000000026201230147044B
1,1,6,0,39,1866,0,0,0,1,0,2018 APR 24 20:18:28,2018 APR 24 20:33:33,2018 APR 24 20:18:38,2018 APR 24 20:33:33,2018 APR 24 20:28:38,2018 APR 24 20:33:33,2018 APR 24 20:29:08,-67.1074,-122.8907,2018 APR 24 20:33:03,-62.0313,-117.8348,2018 APR 24 20:32:23,23.6503,2371,17.3547,164.7293,29.4087,12.4905,41.7436,10,640,835,30,30,895,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,295,327,1111,1400002C000A028003431E1E037F000109D009D0000000000000000000000000000000000262012701470457
1,1,7,0,43,1870,0,0,0,1,0,2018 APR 25 04:09:55,2018 APR 25 04:25:02,2018 APR 25 04:10:05,2018 APR 25 04:25:02,2018 APR 25 04:20:05,2018 APR 25 04:25:02,2018 APR 25 04:20:35,-66.7926,122.8136,2018 APR 25 04:24:32,-61.3962,127.4825,2018 APR 25 04:23:52,24.6811,2362,17.3578,164.9053,29.598,12.5752,42.0165,10,640,837,30,30,897,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,297,327,1117,1400002C000A028003451E1E0381000109D009D000000000000000000000000000000000026201290147045D
1,1,8,0,51,1878,0,0,0,1,0,2018 APR 25 19:53:09,2018 APR 25 20:08:20,2018 APR 25 19:53:19,2018 APR 25 20:08:20,2018 APR 25 20:03:19,2018 APR 25 20:08:20,2018 APR 25 20:03:49,-65.9887,-105.774,2018 APR 25 20:07:50,-59.8393,-102.8343,2018 APR 25 20:07:09,26.7924,2338,17.3056,165.2576,29.9766,12.7446,42.5622,10,640,840,30,30,901,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,301,327,1128,1400002C000A028003481E1E0385000109D009D0000000000000000000000000000000000262012D01470468
1,1,9,0,67,1894,0,0,0,1,0,2018 APR 27 03:19:20,2018 APR 27 03:34:44,2018 APR 27 03:19:30,2018 APR 27 03:34:44,2018 APR 27 03:29:30,2018 APR 27 03:34:44,2018 APR 27 03:30:00,-64.4231,156.9102,2018 APR 27 03:34:14,-57.0747,160.9891,2018 APR 27 03:33:31,30.9761,2285,17.4953,165.9634,31.2069,13.295,44.3359,10,640,851,30,30,914,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,314,327,1165,1400002C000A028003531E1E0392000109D009D0000000000000000000000000000000000262013A0147048D
1,1,10,0,68,1895,0,0,0,1,0,2018 APR 27 05:17:15,2018 APR 27 05:32:40,2018 APR 27 05:17:25,2018 APR 27 05:32:40,2018 APR 27 05:27:25,2018 APR 27 05:32:40,2018 APR 27 05:27:55,-64.2085,128.38,2018 APR 27 05:32:10,-56.8452,133.3321,2018 APR 27 05:31:26,31.2397,2281,17.5647,166.0075,31.3016,13.3374,44.4723,10,640,851,30,30,915,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,315,327,1167,1400002C000A028003531E1E0393000109D009D0000000000000000000000000000000000262013B0147048F
1,1,11,0,72,1899,0,0,0,1,0,2018 APR 27 13:08:52,2018 APR 27 13:24:21,2018 APR 27 13:09:02,2018 APR 27 13:24:21,2018 APR 27 13:19:02,2018 APR 27 13:24:21,2018 APR 27 13:19:32,-63.8901,13.9555,2018 APR 27 13:23:51,-56.0666,17.8042,2018 APR 27 13:23:07,32.2995,2264,17.5144,166.1843,31.6801,13.5067,45.0181,10,640,855,30,30,919,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,319,327,1179,1400002C000A028003571E1E0397000109D009D0000000000000000000000000000000000262013F0147049B
