Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,27,2196,0,0,0,1,0,2018 MAY 21 19:51:12,2018 MAY 21 20:13:01,2018 MAY 21 19:51:22,2018 MAY 21 20:13:01,2018 MAY 21 20:01:22,2018 MAY 21 20:13:01,2018 MAY 21 20:12:31,-26.1756,-23.6533,2018 MAY 21 20:01:52,6.7009,-21.39,2018 MAY 21 20:04:15,60.661,867,5.9844,179.5662,67.6441,29.5962,96.8641,10,640,783,30,30,1299,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,699,327,1102,1400002C000A0280030F1E1E0513000109D009D000000000000000000000000000000000026202BB0147044E
1,1,2,0,28,2197,0,0,0,1,0,2018 MAY 21 21:49:28,2018 MAY 21 22:11:04,2018 MAY 21 21:49:38,2018 MAY 21 22:11:04,2018 MAY 21 21:59:38,2018 MAY 21 22:11:04,2018 MAY 21 22:10:34,-26.8267,-52.3848,2018 MAY 21 22:00:08,5.3049,-50.4518,2018 MAY 21 22:02:26,60.4444,909,5.9653,179.6124,66.4138,29.0458,95.0904,10,640,778,30,30,1286,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,686,327,1071,1400002C000A0280030A1E1E0506000109D009D000000000000000000000000000000000026202AE0147042F
1,1,3,0,29,2198,0,0,0,1,0,2018 MAY 21 23:47:41,2018 MAY 22 00:09:05,2018 MAY 21 23:47:51,2018 MAY 22 00:09:05,2018 MAY 21 23:57:51,2018 MAY 22 00:09:05,2018 MAY 22 00:08:35,-27.4801,-81.1087,2018 MAY 21 23:58:21,3.9638,-79.2642,2018 MAY 22 00:00:34,60.2292,947,5.9622,179.6586,65.2781,28.5377,93.4531,10,640,773,30,30,1274,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,674,327,1297,1400002C000A028003051E1E04FA000109D009D000000000000000000000000000000000026202A201470511
1,1,4,0,31,2200,0,0,0,1,0,2018 MAY 22 03:44:03,2018 MAY 22 04:05:02,2018 MAY 22 03:44:13,2018 MAY 22 04:05:02,2018 MAY 22 03:54:13,2018 MAY 22 04:05:02,2018 MAY 22 04:04:32,-28.3716,-138.5389,2018 MAY 22 03:54:43,1.6121,-137.0621,2018 MAY 22 03:56:48,59.7133,1020,5.9433,179.7511,62.912,27.4792,90.0422,10,640,765,30,30,1249,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,649,327,1494,1400002C000A028002FD1E1E04E1000109D009D00000000000000000000000000000000002620289014705D6
1,1,5,0,32,2201,0,0,0,1,0,2018 MAY 22 05:42:19,2018 MAY 22 06:03:05,2018 MAY 22 05:42:29,2018 MAY 22 06:03:05,2018 MAY 22 05:52:29,2018 MAY 22 06:03:05,2018 MAY 22 06:02:35,-28.9079,-167.2726,2018 MAY 22 05:52:59,0.32334,-165.3906,2018 MAY 22 05:55:00,59.4431,1059,5.9731,179.7973,61.6817,26.9287,88.2685,10,640,761,30,30,1236,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,636,327,1464,1400002C000A028002F91E1E04D4000109D009D0000000000000000000000000000000000262027C014705B8
1,1,6,0,35,2204,0,0,0,1,0,2018 MAY 22 11:36:57,2018 MAY 22 11:57:17,2018 MAY 22 11:37:07,2018 MAY 22 11:57:17,2018 MAY 22 11:47:07,2018 MAY 22 11:57:17,2018 MAY 22 11:56:47,-30.8919,106.5113,2018 MAY 22 11:47:37,-3.1925,108.3091,2018 MAY 22 11:49:29,58.7619,1151,5.9725,179.936,59.221,25.8279,84.7212,10,640,752,30,30,1210,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,610,327,1403,1400002C000A028002F01E1E04BA000109D009D000000000000000000000000000000000026202620147057B
1,1,7,0,39,2208,0,0,0,1,0,2018 MAY 22 19:29:26,2018 MAY 22 19:49:12,2018 MAY 22 19:29:36,2018 MAY 22 19:49:12,2018 MAY 22 19:39:36,2018 MAY 22 19:49:12,2018 MAY 22 19:48:42,-32.4344,-8.3654,2018 MAY 22 19:40:06,-6.7505,-7.0797,2018 MAY 22 19:41:48,57.7203,1257,5.9442,180.121,56.0031,24.3883,80.0823,10,640,742,30,30,1176,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,576,327,1325,1400002C000A028002E61E1E0498000109D009D000000000000000000000000000000000026202400147052D
1,1,8,0,43,2212,0,0,0,1,0,2018 MAY 23 03:21:49,2018 MAY 23 03:41:08,2018 MAY 23 03:21:59,2018 MAY 23 03:41:08,2018 MAY 23 03:31:59,2018 MAY 23 03:41:08,2018 MAY 23 03:40:38,-34.3135,-123.2533,2018 MAY 23 03:32:29,-10.2466,-121.6772,2018 MAY 23 03:34:04,56.7598,1348,5.9669,180.3059,53.4478,23.2451,76.3985,10,640,735,30,30,1149,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,549,327,1264,1400002C000A028002DF1E1E047D000109D009D00000000000000000000000000000000002620225014704F0
1,1,9,0,47,2216,0,0,0,1,0,2018 MAY 23 11:14:19,2018 MAY 23 11:33:15,2018 MAY 23 11:14:29,2018 MAY 23 11:33:15,2018 MAY 23 11:24:29,2018 MAY 23 11:33:15,2018 MAY 23 11:32:45,-36.3459,121.8053,2018 MAY 23 11:24:59,-13.6744,122.7935,2018 MAY 23 11:26:28,55.7565,1438,5.9297,180.4911,51.271,22.2713,73.2605,10,640,729,30,30,1126,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,526,327,1212,1400002C000A028002D91E1E0466000109D009D0000000000000000000000000000000000262020E014704BC
1,1,10,0,52,2221,0,0,0,1,0,2018 MAY 23 21:04:35,2018 MAY 23 21:23:04,2018 MAY 23 21:04:45,2018 MAY 23 21:23:04,2018 MAY 23 21:14:45,2018 MAY 23 21:23:04,2018 MAY 23 21:22:34,-38.1017,-21.7974,2018 MAY 23 21:15:15,-17.0891,-20.2235,2018 MAY 23 21:16:37,54.4703,1527,5.97,180.7225,48.7157,21.1281,69.5767,10,640,722,30,30,1099,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,499,327,1406,1400002C000A028002D21E1E044B000109D009D000000000000000000000000000000000026201F30147057E
