Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Grazing solar occultation observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km: entry (UTC),Min. Limb Height switch SCI1 to SCI2 (UTC),Limb Height 250 km: exit (UTC),Min. Limb Height (km),Latitude probed @ min. limb height (deg),Longitude probed @ min. limb height (deg),Beta angle (deg),Local Solar Time (LST): TGO2SUN vector surface intercept point @ min. limb height (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,147,2657,0,0,0,1,0,2018 JUN 28 13:08:52,2018 JUN 28 13:53:16,2018 JUN 28 13:09:02,2018 JUN 28 13:53:16,2018 JUN 28 13:19:02,2018 JUN 28 13:53:16,2018 JUN 28 13:19:32,2018 JUN 28 13:35:48,2018 JUN 28 13:52:46,7.362,-19.6278,-97.7393,-64.1218,18.2175,201.4611,195.8842,86.968,281.7359,10,640,1616,30,30,2654,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2054,327,1075,1400002C000A028006501E1E0A5E000109D009D0000000000000000000000000000000000262080601470433
5,5,2,149,2659,0,0,0,1,0,2018 JUN 28 17:04:50,2018 JUN 28 17:48:49,2018 JUN 28 17:05:00,2018 JUN 28 17:48:49,2018 JUN 28 17:15:00,2018 JUN 28 17:48:49,2018 JUN 28 17:15:30,2018 JUN 28 17:31:30,2018 JUN 28 17:48:19,20.6775,-19.7566,-155.0451,-64.6286,18.22,201.5589,193.5182,85.9095,278.325,10,640,1600,30,30,2629,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2029,327,1264,1400002C000A028006401E1E0A45000109D009D000000000000000000000000000000000026207ED014704F0
5,5,3,152,2662,0,0,0,1,0,2018 JUN 28 22:59:08,2018 JUN 28 23:42:06,2018 JUN 28 22:59:18,2018 JUN 28 23:42:06,2018 JUN 28 23:09:18,2018 JUN 28 23:42:06,2018 JUN 28 23:09:48,2018 JUN 28 23:25:22,2018 JUN 28 23:41:36,43.7587,-20.3824,118.9992,-65.4637,18.2292,201.7056,187.745,83.3267,270.0024,10,640,1574,30,30,2568,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1968,327,1116,1400002C000A028006261E1E0A08000109D009D000000000000000000000000000000000026207B00147045C
5,5,4,153,2663,0,0,0,1,0,2018 JUN 29 00:57:10,2018 JUN 29 01:39:54,2018 JUN 29 00:57:20,2018 JUN 29 01:39:54,2018 JUN 29 01:07:20,2018 JUN 29 01:39:54,2018 JUN 29 01:07:50,2018 JUN 29 01:23:16,2018 JUN 29 01:39:24,50.1779,-20.4316,90.332,-65.741,18.2303,201.7545,186.42,82.7339,268.0922,10,640,1566,30,30,2554,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1954,327,1335,1400002C000A0280061E1E1E09FA000109D009D000000000000000000000000000000000026207A201470537
5,5,5,155,2665,0,0,0,1,0,2018 JUN 29 04:53:08,2018 JUN 29 05:35:16,2018 JUN 29 04:53:18,2018 JUN 29 05:35:16,2018 JUN 29 05:03:18,2018 JUN 29 05:35:16,2018 JUN 29 05:03:48,2018 JUN 29 05:18:58,2018 JUN 29 05:34:46,63.5587,-20.6056,33.036,-66.2579,18.2333,201.8524,183.0129,81.2096,263.1805,10,640,1550,30,30,2518,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1918,327,1247,1400002C000A0280060E1E1E09D6000109D009D0000000000000000000000000000000000262077E014704DF
5,5,6,158,2668,0,0,0,1,0,2018 JUN 29 10:47:42,2018 JUN 29 11:28:32,2018 JUN 29 10:47:52,2018 JUN 29 11:28:32,2018 JUN 29 10:57:52,2018 JUN 29 11:28:32,2018 JUN 29 10:58:22,2018 JUN 29 11:12:49,2018 JUN 29 11:28:02,87.0296,-21.0952,-52.9373,-67.069,18.2411,201.9992,175.6308,77.9071,252.5384,10,640,1507,30,30,2440,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1840,327,1303,1400002C000A028005E31E1E0988000109D009D0000000000000000000000000000000000262073001470517
5,5,7,320,2830,0,0,0,1,0,2018 JUL 12 17:48:19,2018 JUL 12 18:29:50,2018 JUL 12 17:48:29,2018 JUL 12 18:29:50,2018 JUL 12 17:58:29,2018 JUL 12 18:29:50,2018 JUL 12 17:58:59,2018 JUL 12 18:14:26,2018 JUL 12 18:29:20,72.9677,-13.9148,143.5025,-66.5043,5.7914,210.0164,179.5111,79.643,258.1324,10,640,1567,30,30,2481,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1881,327,1190,1400002C000A0280061F1E1E09B1000109D009D00000000000000000000000000000000002620759014704A6
5,5,8,322,2832,0,0,0,1,0,2018 JUL 12 21:43:43,2018 JUL 12 22:25:57,2018 JUL 12 21:43:53,2018 JUL 12 22:25:57,2018 JUL 12 21:53:53,2018 JUL 12 22:25:57,2018 JUL 12 21:54:23,2018 JUL 12 22:10:15,2018 JUL 12 22:25:27,59.2339,-13.4624,86.2306,-66.0002,5.7978,210.116,183.5807,81.4637,263.9991,10,640,1592,30,30,2524,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1924,327,1301,1400002C000A028006381E1E09DC000109D009D0000000000000000000000000000000000262078401470515
5,5,9,324,2834,0,0,0,1,0,2018 JUL 13 01:39:16,2018 JUL 13 02:22:00,2018 JUL 13 01:39:26,2018 JUL 13 02:22:00,2018 JUL 13 01:49:26,2018 JUL 13 02:22:00,2018 JUL 13 01:49:56,2018 JUL 13 02:05:58,2018 JUL 13 02:21:30,46.5256,-13.5753,28.8507,-65.4627,5.7956,210.2156,186.42,82.7339,268.0922,10,640,1602,30,30,2554,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1954,327,1371,1400002C000A028006421E1E09FA000109D009D000000000000000000000000000000000026207A20147055B
5,5,10,326,2836,0,0,0,1,0,2018 JUL 13 05:34:49,2018 JUL 13 06:18:14,2018 JUL 13 05:34:59,2018 JUL 13 06:18:14,2018 JUL 13 05:44:59,2018 JUL 13 06:18:14,2018 JUL 13 05:45:29,2018 JUL 13 06:02:01,2018 JUL 13 06:17:44,31.2485,-12.7904,-28.3993,-64.8957,5.8072,210.3154,190.3003,84.4699,273.6861,10,640,1632,30,30,2595,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1995,327,1228,1400002C000A028006601E1E0A23000109D009D000000000000000000000000000000000026207CB014704CC
