Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg)
Olympus Mons                  ,1,1,18,2018 JUN 18 01:11:44,2018 JUN 18 01:15:28,12.8917,-130.8341,23.7138,-128.1793,31.0227,36.515
Olympus Mons                  ,2,4,43,2018 JUN 20 02:17:53,2018 JUN 20 02:21:37,12.8917,-134.684,23.7138,-132.0272,37.0095,41.1099
Olympus Mons                  ,3,1,68,2018 JUN 22 03:24:03,2018 JUN 22 03:27:47,12.8917,-138.5404,23.7138,-135.8812,43.3121,46.2846
Olympus Mons                  ,4,1,105,2018 JUN 25 04:04:24,2018 JUN 25 04:06:55,12.8917,-129.8724,20.1758,-128.1389,52.9967,53.9475
Olympus Mons                  ,5,4,130,2018 JUN 27 05:10:33,2018 JUN 27 05:14:17,12.8917,-133.7235,23.7138,-131.0674,59.6757,60.663
Olympus Mons                  ,6,5,155,2018 JUN 29 06:16:42,2018 JUN 29 06:20:26,12.8917,-137.5774,23.7138,-134.9187,66.4294,66.8293
Olympus Mons                  ,7,3,180,2018 JUL 01 07:25:36,2018 JUL 01 07:26:37,20.7706,-139.5528,23.7138,-138.7804,73.0946,73.134
Olympus Mons                  ,8,17,192,2018 JUL 02 06:57:04,2018 JUL 02 06:58:13,12.8917,-128.9105,16.2287,-128.1389,76.5375,76.3797
Olympus Mons                  ,9,4,217,2018 JUL 04 08:03:13,2018 JUL 04 08:06:57,12.8917,-132.7637,23.7138,-130.108,83.4062,82.665
Olympus Mons                  ,10,4,235,2018 JUL 05 20:11:19,2018 JUL 05 20:15:03,23.7138,-136.7585,12.8917,-134.1065,87.863,88.9103
Olympus Mons                  ,11,3,242,2018 JUL 06 09:10:14,2018 JUL 06 09:13:06,15.4218,-136.0327,23.7138,-133.9572,90.0383,89.1804
Olympus Mons                  ,12,8,260,2018 JUL 07 21:18:55,2018 JUL 07 21:21:13,19.5799,-139.5528,12.8917,-137.9688,81.9208,82.2573
Olympus Mons                  ,13,4,297,2018 JUL 10 21:57:51,2018 JUL 10 22:01:35,23.7138,-131.9447,12.8917,-129.2937,72.9978,72.5461
Olympus Mons                  ,14,5,322,2018 JUL 12 23:03:59,2018 JUL 12 23:07:43,23.7138,-135.7962,12.8917,-133.1446,67.2883,66.1173
