S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2018 OCT 07 15:15:00,-74.0586,-99.5682,251.2696,2.0875,78.6055,7.2984e-15,78.6055
TGO,2018 OCT 07 15:42:00,-73.2261,-99.3003,381.7564,2.5431,78.3026,0.32675,78.6028

MRO,2018 OCT 10 01:12:00,-72.3985,135.7226,252.9,2.1453,79.8651,3.7125e-14,79.8651
TGO,2018 OCT 10 00:39:00,-73.5086,136.002,380.8897,1.6289,79.8568,0.35756,80.1737

MRO,2018 OCT 13 15:12:00,-72.7348,-39.8511,250.7326,2.0981,79.6239,1.9926e-14,79.6239
TGO,2018 OCT 13 15:06:00,-72.1356,-40.7998,380.682,1.9375,80.4827,0.35552,80.8062

MRO,2018 OCT 13 20:48:00,-71.1901,-121.1807,249.5697,2.1236,80.9061,1.778e-14,80.9061
TGO,2018 OCT 14 20:33:00,-72.9183,-122.4544,380.69,1.1419,81.027,0.37748,81.3565

MRO,2018 OCT 15 06:27:00,-70.392,108.0435,250.6094,2.1389,81.5539,8.4524e-15,81.5539
TGO,2018 OCT 15 06:24:00,-70.5201,108.3007,380.8271,2.1075,81.5182,1.5093,80.0843

MRO,2018 OCT 16 21:42:00,-68.7511,-104.5245,250.6167,2.1489,82.9489,2.3814e-14,82.9489
TGO,2018 OCT 16 21:42:00,-68.9078,-103.1024,380.6213,2.2436,82.5619,0.36325,82.9044

MRO,2018 OCT 18 12:57:00,-67.2246,43.0944,250.9747,2.1714,84.2163,3.2746e-14,84.2163
TGO,2018 OCT 18 13:00:00,-66.7629,44.2991,379.1886,2.3003,84.2361,0.3731,84.5928

MRO,2018 OCT 20 04:12:00,-65.071,-169.0799,251.1822,2.2078,85.9837,1.7439e-14,85.9837
TGO,2018 OCT 20 04:18:00,-64.0999,-169.1462,380.0869,2.3006,86.517,0.38754,86.8916

MRO,2018 OCT 22 01:03:00,-61.5117,-103.256,250.3061,2.225,89.0218,1.5581e-14,89.0218
TGO,2018 OCT 23 01:03:00,-63.4722,-101.5942,379.7949,1.6825,88.9481,0.41703,89.344

MRO,2018 OCT 22 19:45:00,-62.6381,-16.246,250.8441,2.2167,88.0949,1.3494e-14,88.0949
TGO,2018 OCT 22 19:09:00,-64.3873,-16.4148,380.5307,1.6219,88.2532,0.41453,88.6443

MRO,2018 OCT 23 06:00:00,57.7438,15.0002,306.776,14.2708,87.8906,5.9694e-14,87.8906
TGO,2018 OCT 23 06:00:00,57.8548,13.6366,423.0336,14.18,87.6271,0.14627,87.5111

MRO,2018 OCT 23 07:51:00,53.9352,-11.4003,303.6645,14.3106,84.8015,1.4769e-14,84.8015
TGO,2018 OCT 23 08:00:00,52.2171,-10.3033,421.4728,14.5294,84.4134,0.13382,84.2913

MRO,2018 OCT 24 21:12:00,46.3872,164.1672,300.9437,14.3483,78.5423,7.8231e-14,78.5423
TGO,2018 OCT 24 21:21:00,47.0646,162.9653,418.4121,14.4142,79.4746,0.14441,79.3407

MRO,2018 OCT 24 23:03:00,42.5428,137.4932,297.6947,14.3697,75.4228,2.8625e-14,75.4228
TGO,2018 OCT 24 23:21:00,41.2009,136.9942,414.4654,14.6283,75.9519,0.12722,75.8306

MRO,2018 OCT 25 23:24:00,51.3259,141.1337,304.1098,14.2997,82.4589,4.696e-14,82.4589
TGO,2018 OCT 25 22:51:00,52.5178,142.8888,421.0908,13.8817,81.6771,0.17415,81.5321

MRO,2018 OCT 26 06:48:00,36.8086,34.3968,293.1614,14.3825,70.6781,1.7992e-14,70.6781
TGO,2018 OCT 26 06:48:00,36.8802,35.6502,409.7369,14.4661,71.3047,0.12738,71.1874

MRO,2018 OCT 29 07:33:00,6.8925,54.0205,269.9911,14.4614,48.0479,2.3059e-14,48.0479
TGO,2018 OCT 29 07:39:00,5.9535,53.0329,390.647,14.4928,47.753,3.2845,45.734

MRO,2018 OCT 30 17:06:00,-12.7698,-74.8467,258.869,14.5078,37.3884,2.3801e-14,37.3884
TGO,2018 OCT 30 17:09:00,-13.1343,-75.2125,385.4092,14.5319,37.5627,2.7232,35.4749

MRO,2018 NOV 01 00:48:00,-28.1067,-176.8402,255.0973,14.5458,34.1943,3.7227e-14,34.1943
TGO,2018 NOV 01 00:39:00,-26.2279,-175.4093,382.7929,14.4953,33.6651,0.53276,33.8401

MRO,2018 NOV 01 02:39:00,-32.0046,156.3862,253.8721,14.5608,34.373,1.7992e-14,34.373
TGO,2018 NOV 01 02:39:00,-32.388,157.5156,381.2807,14.6361,35.3418,0.55873,35.4775

MRO,2018 NOV 02 17:51:00,-43.0793,-55.011,251.9714,14.6017,36.8744,5.4813e-14,36.8744
TGO,2018 NOV 02 18:00:00,-44.0272,-56.8451,380.8217,14.6253,37.4113,0.58816,37.3854

