Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Grazing solar occultation observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km: entry (UTC),Min. Limb Height switch SCI1 to SCI2 (UTC),Limb Height 250 km: exit (UTC),Min. Limb Height (km),Latitude probed @ min. limb height (deg),Longitude probed @ min. limb height (deg),Beta angle (deg),Local Solar Time (LST): TGO2SUN vector surface intercept point @ min. limb height (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,15,3894,0,0,0,1,0,2018 OCT 07 18:33:27,2018 OCT 07 19:17:35,2018 OCT 07 18:33:37,2018 OCT 07 19:17:35,N/A,N/A,2018 OCT 07 18:43:37,2018 OCT 07 19:17:35,2018 OCT 07 18:44:07,2018 OCT 07 19:00:15,2018 OCT 07 19:17:05,12.9592,11.1417,78.9923,-63.929,17.6433,264.6369,194.3699,N/A,107.948,301.2104,10,640,1608,30,30,2638,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2038,327,1290,1400002C000A028006481E1E0A4E000109D009D000000000000000000000000000000000026207F60147050A
5,5,2,17,3896,0,0,0,1,0,2018 OCT 07 22:29:10,2018 OCT 07 23:12:49,2018 OCT 07 22:29:20,2018 OCT 07 23:12:49,N/A,N/A,2018 OCT 07 22:39:20,2018 OCT 07 23:12:49,2018 OCT 07 22:39:50,2018 OCT 07 22:55:45,2018 OCT 07 23:12:19,25.9055,11.6176,21.4841,-64.4075,17.6278,264.7402,191.6253,N/A,106.412,296.9456,10,640,1595,30,30,2609,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,2009,327,1219,1400002C000A0280063B1E1E0A31000109D009D000000000000000000000000000000000026207D9014704C3
5,5,3,18,3897,0,0,0,1,0,2018 OCT 08 00:27:12,2018 OCT 08 01:10:27,2018 OCT 08 00:27:22,2018 OCT 08 01:10:27,N/A,N/A,2018 OCT 08 00:37:22,2018 OCT 08 01:10:27,2018 OCT 08 00:37:52,2018 OCT 08 00:53:43,2018 OCT 08 01:09:57,34.9249,11.3176,-7.0562,-64.6959,17.6375,264.7919,189.3539,N/A,105.1407,293.416,10,640,1591,30,30,2585,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1985,327,1167,1400002C000A028006371E1E0A19000109D009D000000000000000000000000000000000026207C10147048F
5,5,4,21,3900,0,0,0,1,0,2018 OCT 08 06:21:15,2018 OCT 08 07:03:22,2018 OCT 08 06:21:25,2018 OCT 08 07:03:22,N/A,N/A,2018 OCT 08 06:31:25,2018 OCT 08 07:03:22,2018 OCT 08 06:31:55,2018 OCT 08 06:47:10,2018 OCT 08 07:02:52,59.0731,12.1601,-93.4322,-65.4814,17.6094,264.947,182.9182,N/A,101.5389,283.4157,10,640,1555,30,30,2517,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1917,327,1250,1400002C000A028006131E1E09D5000109D009D0000000000000000000000000000000000262077D014704E2
5,5,5,23,3902,0,0,0,1,0,2018 OCT 08 10:17:03,2018 OCT 08 10:58:39,2018 OCT 08 10:17:13,2018 OCT 08 10:58:39,N/A,N/A,2018 OCT 08 10:27:13,2018 OCT 08 10:58:39,2018 OCT 08 10:27:43,2018 OCT 08 10:42:39,2018 OCT 08 10:58:09,71.226,12.7873,-151.0143,-65.9496,17.5886,265.0503,179.9843,N/A,99.897,278.8567,10,640,1536,30,30,2486,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1886,327,1169,1400002C000A028006001E1E09B6000109D009D0000000000000000000000000000000000262075E01470491
5,5,6,24,3903,0,0,0,1,0,2018 OCT 08 12:15:06,2018 OCT 08 12:56:13,2018 OCT 08 12:15:16,2018 OCT 08 12:56:13,N/A,N/A,2018 OCT 08 12:25:16,2018 OCT 08 12:56:13,2018 OCT 08 12:25:46,2018 OCT 08 12:40:26,2018 OCT 08 12:55:43,79.1318,13.0022,-179.7665,-66.2224,17.5814,265.1019,177.2397,N/A,98.3609,274.5919,10,640,1520,30,30,2457,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1857,327,1350,1400002C000A028005F01E1E0999000109D009D0000000000000000000000000000000000262074101470546
5,5,7,27,3906,0,0,0,1,0,2018 OCT 08 18:09:11,2018 OCT 08 18:49:10,2018 OCT 08 18:09:21,2018 OCT 08 18:49:10,N/A,N/A,2018 OCT 08 18:19:21,2018 OCT 08 18:49:10,2018 OCT 08 18:19:51,2018 OCT 08 18:34:03,2018 OCT 08 18:48:40,99.3953,13.3165,94.0772,-67.0216,17.5706,265.257,170.8041,N/A,94.7591,264.5916,10,640,1492,30,30,2389,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1789,327,1441,1400002C000A028005D41E1E0955000109D009D000000000000000000000000000000000026206FD014705A1
5,5,8,184,4062,0,0,0,1,0,2018 OCT 21 13:45:59,2018 OCT 21 14:26:55,2018 OCT 21 13:46:09,2018 OCT 21 14:26:55,N/A,N/A,2018 OCT 21 13:56:09,2018 OCT 21 14:26:55,2018 OCT 21 13:56:39,2018 OCT 21 14:11:46,2018 OCT 21 14:26:25,84.2245,13.2296,118.1605,-66.4923,6.4278,273.3231,176.1987,N/A,97.7782,272.9742,10,640,1547,30,30,2446,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1846,327,1100,1400002C000A0280060B1E1E098E000109D009D000000000000000000000000000000000026207360147044C
5,5,9,186,4064,0,0,0,1,0,2018 OCT 21 17:41:11,2018 OCT 21 18:22:37,2018 OCT 21 17:41:21,2018 OCT 21 18:22:37,N/A,N/A,2018 OCT 21 17:51:21,2018 OCT 21 18:22:37,2018 OCT 21 17:51:51,2018 OCT 21 18:07:13,2018 OCT 21 18:22:07,73.5368,12.5869,60.5763,-66.0283,6.4061,273.4255,179.0379,N/A,99.3673,277.3861,10,640,1562,30,30,2476,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1876,327,1175,1400002C000A0280061A1E1E09AC000109D009D0000000000000000000000000000000000262075401470497
5,5,10,188,4066,0,0,0,1,0,2018 OCT 21 21:36:35,2018 OCT 21 22:18:40,2018 OCT 21 21:36:45,2018 OCT 21 22:18:40,N/A,N/A,2018 OCT 21 21:46:45,2018 OCT 21 22:18:40,2018 OCT 21 21:47:15,2018 OCT 21 22:02:59,2018 OCT 21 22:18:10,59.6128,12.3714,3.1304,-65.5143,6.3989,273.5281,182.729,N/A,101.433,283.1216,10,640,1584,30,30,2515,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,1915,327,1275,1400002C000A028006301E1E09D3000109D009D0000000000000000000000000000000000262077B014704FB
