Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Nightside nadir observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
17,17,1,28,3907,0,1,0,0,0,2018 OCT 08 20:11:10,2018 OCT 08 20:48:03,N/A,N/A,2018 OCT 08 20:11:20,2018 OCT 08 20:48:03,73.0885,23.8093,14.4606,101.4177,101.4177,1.1495e-14,-25.0575,98.3377,20.0272,103.4654,103.4654,2.4482e-14,-67.2026,265.2996,N/A,224.0147,224.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2203,104,341,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089B00680155
17,17,2,29,3908,0,1,0,0,0,2018 OCT 08 22:08:53,2018 OCT 08 22:45:46,N/A,N/A,2018 OCT 08 22:09:03,2018 OCT 08 22:45:46,73.1653,-5.9084,14.3881,101.3119,101.3119,6.6645e-15,-24.8587,69.3561,20.0036,103.3257,103.3257,2.249e-14,-67.4354,265.3512,N/A,224.0147,224.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2203,104,341,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089B00680155
17,17,3,30,3909,0,1,0,0,0,2018 OCT 09 00:06:39,2018 OCT 09 00:43:32,N/A,N/A,2018 OCT 09 00:06:49,2018 OCT 09 00:43:32,73.1508,-35.3091,14.3372,101.185,101.185,2.215e-14,-24.7125,40.3977,19.9825,103.1788,103.1788,6.2082e-14,-67.7064,265.4028,N/A,224.0147,224.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2203,104,341,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089B00680155
17,17,4,31,3910,0,1,0,0,0,2018 OCT 09 02:04:27,2018 OCT 09 02:41:23,N/A,N/A,2018 OCT 09 02:04:37,2018 OCT 09 02:41:23,73.1412,-64.8307,14.2792,101.0474,101.0474,2.0381e-14,-24.6176,11.4219,19.9614,103.0024,103.0024,2.2935e-14,-67.9851,265.4545,N/A,224.3198,224.3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2206,104,344,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089E00680158
17,17,5,38,3917,0,1,0,0,0,2018 OCT 09 15:48:50,2018 OCT 09 16:25:44,N/A,N/A,2018 OCT 09 15:49:00,2018 OCT 09 16:25:44,73.3855,86.7719,13.7514,100.2294,100.2294,7.9514e-16,-22.878,168.248,19.7814,101.9851,101.9851,2.2935e-14,-69.74,265.8159,N/A,224.1164,224.1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2204,104,342,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089C00680156
17,17,6,39,3918,0,1,0,0,0,2018 OCT 09 17:46:36,2018 OCT 09 18:23:29,N/A,N/A,2018 OCT 09 17:46:46,2018 OCT 09 18:23:29,73.4435,56.5422,13.6453,100.1062,100.1062,1.5662e-14,-22.5049,139.1669,19.7517,101.8553,101.8553,4.5092e-14,-69.9874,265.8675,N/A,224.0147,224.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2203,104,341,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089B00680155
17,17,7,40,3919,0,1,0,0,0,2018 OCT 09 19:44:19,2018 OCT 09 20:21:12,N/A,N/A,2018 OCT 09 19:44:29,2018 OCT 09 20:21:12,73.528,26.1404,13.5272,100.0006,100.0006,3.1806e-15,-22.1166,110.0988,19.7222,101.7343,101.7343,4.0357e-14,-70.2112,265.9191,N/A,224.0147,224.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2203,104,341,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089B00680155
17,17,8,63,3942,0,1,0,0,0,2018 OCT 11 16:51:28,2018 OCT 11 17:28:22,N/A,N/A,2018 OCT 11 16:51:38,2018 OCT 11 17:28:22,71.3727,48.7109,10.9222,97.3907,97.3907,4.1133e-14,-12.5748,161.8608,19.0636,98.5729,98.5729,7.9514e-15,-75.6274,267.1051,N/A,224.1164,224.1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2204,104,342,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089C00680156
17,17,9,64,3943,0,1,0,0,0,2018 OCT 11 18:49:06,2018 OCT 11 19:26:00,N/A,N/A,2018 OCT 11 18:49:16,2018 OCT 11 19:26:00,71.0374,17.6754,10.7603,97.2834,97.2834,1.1713e-14,-11.8573,132.722,19.0283,98.4581,98.4581,2.6228e-14,-75.8361,267.1567,N/A,224.1164,224.1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2204,104,342,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089C00680156
17,17,10,65,3944,0,1,0,0,0,2018 OCT 11 20:46:41,2018 OCT 11 21:23:36,N/A,N/A,2018 OCT 11 20:46:51,2018 OCT 11 21:23:36,70.6775,-13.4173,10.5939,97.1967,97.1967,2.1112e-14,-11.1324,103.6059,18.9939,98.3547,98.3547,1.3955e-14,-76.0174,267.2081,N/A,224.2181,224.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2205,104,343,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089D00680157
