Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,9,4914,0,0,0,1,0,2018 DEC 30 05:51:03,2018 DEC 30 06:05:30,2018 DEC 30 05:51:13,2018 DEC 30 06:05:30,N/A,N/A,2018 DEC 30 06:01:13,2018 DEC 30 06:05:30,2018 DEC 30 06:01:43,65.5522,-30.94,2018 DEC 30 06:05:00,65.4698,-28.2117,2018 DEC 30 06:04:26,-5.4701,2477,15.2869,315.3796,25.8123,N/A,13.6127,39.2901,10,640,803,30,30,857,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,257,327,1003,1400002C000A028003231E1E0359000109D009D00000000000000000000000000000000002620101014703EB
1,1,2,0,11,4916,0,0,0,1,0,2018 DEC 30 09:46:42,2018 DEC 30 10:01:10,2018 DEC 30 09:46:52,2018 DEC 30 10:01:10,N/A,N/A,2018 DEC 30 09:56:52,2018 DEC 30 10:01:10,2018 DEC 30 09:57:22,65.5591,-88.1846,2018 DEC 30 10:00:40,65.667,-84.5813,2018 DEC 30 10:00:05,-5.9748,2475,15.3511,315.4737,25.907,N/A,13.6656,39.4372,10,640,803,30,30,858,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,258,327,1005,1400002C000A028003231E1E035A000109D009D00000000000000000000000000000000002620102014703ED
1,1,3,0,17,4922,0,0,0,1,0,2018 DEC 30 21:33:59,2018 DEC 30 21:48:27,2018 DEC 30 21:34:09,2018 DEC 30 21:48:27,N/A,N/A,2018 DEC 30 21:44:09,2018 DEC 30 21:48:27,2018 DEC 30 21:44:39,65.6009,99.9471,2018 DEC 30 21:47:57,65.4631,104.0483,2018 DEC 30 21:47:22,-7.5185,2472,15.3978,315.7559,25.907,N/A,13.6656,39.4372,10,640,803,30,30,858,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,258,327,1005,1400002C000A028003231E1E035A000109D009D00000000000000000000000000000000002620102014703ED
1,1,4,0,21,4926,0,0,0,1,0,2018 DEC 31 05:25:36,2018 DEC 31 05:40:04,2018 DEC 31 05:25:46,2018 DEC 31 05:40:04,N/A,N/A,2018 DEC 31 05:35:46,2018 DEC 31 05:40:04,2018 DEC 31 05:36:16,65.5843,-14.5414,2018 DEC 31 05:39:34,64.611,-11.8302,2018 DEC 31 05:39:00,-8.5826,2468,15.3214,315.944,25.907,N/A,13.6656,39.4372,10,640,804,30,30,858,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,258,327,1006,1400002C000A028003241E1E035A000109D009D00000000000000000000000000000000002620102014703EE
1,1,5,0,23,4928,0,0,0,1,0,2018 DEC 31 09:21:15,2018 DEC 31 09:35:44,2018 DEC 31 09:21:25,2018 DEC 31 09:35:44,N/A,N/A,2018 DEC 31 09:31:25,2018 DEC 31 09:35:44,2018 DEC 31 09:31:55,65.6188,-71.8561,2018 DEC 31 09:35:14,64.902,-68.1148,2018 DEC 31 09:34:39,-9.0736,2467,15.3914,316.0379,26.0016,N/A,13.7186,39.5842,10,640,804,30,30,859,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,259,327,1008,1400002C000A028003241E1E035B000109D009D00000000000000000000000000000000002620103014703F0
1,1,6,0,27,4932,0,0,0,1,0,2018 DEC 31 17:12:52,2018 DEC 31 17:27:22,2018 DEC 31 17:13:02,2018 DEC 31 17:27:22,N/A,N/A,2018 DEC 31 17:23:02,2018 DEC 31 17:27:22,2018 DEC 31 17:23:32,65.5705,173.7343,2018 DEC 31 17:26:52,65.2303,179.324,2018 DEC 31 17:26:16,-10.1393,2463,15.5364,316.2258,26.0962,N/A,13.7716,39.7313,10,640,804,30,30,860,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,260,327,1010,1400002C000A028003241E1E035C000109D009D00000000000000000000000000000000002620104014703F2
1,1,7,0,29,4934,0,0,0,1,0,2018 DEC 31 21:08:33,2018 DEC 31 21:23:04,2018 DEC 31 21:08:43,2018 DEC 31 21:23:04,N/A,N/A,2018 DEC 31 21:18:43,2018 DEC 31 21:23:04,2018 DEC 31 21:19:13,65.6258,116.3597,2018 DEC 31 21:22:34,65.1673,122.0351,2018 DEC 31 21:21:58,-10.638,2462,15.54,316.3197,26.1909,N/A,13.8246,39.8783,10,640,805,30,30,861,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,261,327,1013,1400002C000A028003251E1E035D000109D009D00000000000000000000000000000000002620105014703F5
1,1,8,0,33,4938,0,0,0,1,0,2019 JAN 01 05:00:10,2019 JAN 01 05:14:41,2019 JAN 01 05:00:20,2019 JAN 01 05:14:41,N/A,N/A,2019 JAN 01 05:10:20,2019 JAN 01 05:14:41,2019 JAN 01 05:10:50,65.5611,1.9886,2019 JAN 01 05:14:11,64.781,7.5818,2019 JAN 01 05:13:36,-11.7155,2456,15.5586,316.5075,26.1909,N/A,13.8246,39.8783,10,640,806,30,30,861,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,261,327,1014,1400002C000A028003261E1E035D000109D009D00000000000000000000000000000000002620105014703F6
1,1,9,0,39,4944,0,0,0,1,0,2019 JAN 01 16:47:25,2019 JAN 01 17:01:57,2019 JAN 01 16:47:35,2019 JAN 01 17:01:57,N/A,N/A,2019 JAN 01 16:57:35,2019 JAN 01 17:01:57,2019 JAN 01 16:58:05,65.5243,-169.6794,2019 JAN 01 17:01:27,63.7585,-165.5848,2019 JAN 01 17:00:52,-13.272,2450,15.4853,316.7889,26.2855,N/A,13.8775,40.0254,10,640,807,30,30,862,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,262,327,1017,1400002C000A028003271E1E035E000109D009D00000000000000000000000000000000002620106014703F9
1,1,10,0,45,4950,0,0,0,1,0,2019 JAN 02 04:34:42,2019 JAN 02 04:49:15,2019 JAN 02 04:34:52,2019 JAN 02 04:49:15,N/A,N/A,2019 JAN 02 04:44:52,2019 JAN 02 04:49:15,2019 JAN 02 04:45:22,65.4748,18.6714,2019 JAN 02 04:48:45,63.2811,22.7919,2019 JAN 02 04:48:10,-14.8497,2440,15.5153,317.0701,26.3802,N/A,13.9305,40.1725,10,640,808,30,30,863,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,263,327,1020,1400002C000A028003281E1E035F000109D009D00000000000000000000000000000000002620107014703FC
