S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2019 FEB 23 21:03:00,-65.6954,-89.3382,251.0808,14.4731,65.2909,1.2725e-14,65.2909
TGO,2019 FEB 23 20:33:00,-67.4195,-85.4991,378.7715,14.2425,65.7478,0.2971,65.724

MRO,2019 FEB 24 02:39:00,-67.6087,-170.7441,252.7893,14.4969,66.8595,1.5903e-15,66.8595
TGO,2019 FEB 24 02:27:00,-68.1943,-169.9548,380.8446,14.355,66.7936,0.19411,66.81

MRO,2019 FEB 24 08:15:00,-69.8997,108.5917,253.2286,14.5703,68.8732,2.2616e-14,68.8732
TGO,2019 FEB 24 08:21:00,-69.3112,106.5174,379.0761,14.5294,68.2965,0.38244,68.2765

MRO,2019 FEB 25 14:12:00,-64.2934,29.4549,253.9548,14.4469,64.4947,2.5094e-14,64.4947
TGO,2019 FEB 25 13:48:00,-67.6148,28.234,380.3979,13.9764,65.4045,2.1751,65.7519

MRO,2019 FEB 25 19:48:00,-66.713,-51.621,253.2789,14.4928,66.5354,5.7095e-14,66.5354
TGO,2019 FEB 25 19:42:00,-68.7819,-56.5258,379.0715,14.0686,66.703,0.36452,66.6621

MRO,2019 FEB 27 05:27:00,-69.0886,177.754,252.7415,14.5389,68.7713,2.0124e-14,68.7713
TGO,2019 FEB 27 05:06:00,-69.8432,175.3699,379.9146,14.0392,67.7906,0.35636,67.7558

MRO,2019 FEB 27 20:24:00,-71.5985,-39.3544,253.1301,14.6169,71.0245,1.5087e-14,71.0245
TGO,2019 FEB 28 20:24:00,-71.5967,-35.4129,379.54,14.2411,70.1312,0.35402,70.1154

MRO,2019 FEB 28 20:42:00,-74.2709,-32.6589,253.5481,14.7167,73.4905,1.778e-14,73.4905
TGO,2019 FEB 27 20:51:00,-72.9572,-36.9339,378.7632,15.2164,73.91,0.38218,73.9379

MRO,2019 MAR 04 21:57:00,-74.045,-12.5092,254.4423,14.7225,74.2062,2.5556e-14,74.2062
TGO,2019 MAR 04 22:39:00,-73.632,-16.7544,379.0897,15.1208,75.1054,0.37329,75.1331

MRO,2019 MAR 05 20:24:00,-72.5504,18.9058,253.5834,14.6697,73.1604,5.0289e-14,73.1604
TGO,2019 MAR 05 20:15:00,-73.5322,21.0415,380.2852,14.6661,73.8711,0.3577,73.8824

MRO,2019 MAR 06 02:00:00,-74.9229,-61.2516,251.1476,14.7769,75.2382,2.9194e-14,75.2382
TGO,2019 MAR 06 02:09:00,-73.5572,-59.8059,380.3797,15.0192,74.9823,0.37029,75.0058

MRO,2019 MAR 07 13:33:00,-71.8667,137.9314,252.7643,14.6603,72.9929,1.5743e-14,72.9929
TGO,2019 MAR 07 13:30:00,-73.6075,136.7878,379.9441,14.5353,73.9349,0.35206,73.9424

MRO,2019 MAR 07 19:09:00,-73.5158,57.2277,252.0722,14.7311,74.4591,8.996e-15,74.4591
TGO,2019 MAR 07 19:24:00,-73.5105,53.7061,380.5389,14.7397,74.482,0.36039,74.4953

MRO,2019 MAR 08 00:45:00,-75.8652,-23.1544,254.627,14.8233,76.4496,5.7338e-15,76.4496
TGO,2019 MAR 08 01:18:00,-73.4258,-27.549,378.799,15.0658,75.4554,0.38677,75.4587

MRO,2019 MAR 08 17:36:00,-72.1178,88.8724,252.4976,14.6939,73.5278,1.1469e-14,73.5278
TGO,2019 MAR 08 17:00:00,-73.5235,92.5858,380.3788,14.3572,73.6495,0.34562,73.6509

MRO,2019 MAR 08 23:12:00,-74.0492,7.8294,254.7451,14.7419,75.1256,3.8693e-14,75.1256
TGO,2019 MAR 08 22:54:00,-73.5741,9.7348,379.8001,14.5769,74.3182,0.35371,74.3266

MRO,2019 MAR 10 16:21:00,-73.0775,126.6414,252.4586,14.7189,74.7159,3.1365e-14,74.7159
TGO,2019 MAR 10 16:09:00,-73.1875,124.9943,380.5379,14.4144,73.9509,2.1681,75.8865

MRO,2019 MAR 12 18:51:00,-72.3087,109.1566,252.589,14.7108,74.5756,2.434e-14,74.5756
TGO,2019 MAR 13 18:48:00,-72.8566,113.2522,380.8537,14.2972,74.0447,0.34697,74.0388

MRO,2019 MAR 13 19:09:00,-74.612,115.788,252.7418,14.8069,76.735,5.0289e-15,76.735
TGO,2019 MAR 12 19:15:00,-71.6064,111.1153,380.3482,15.2308,75.8331,0.39135,75.8523

MRO,2019 MAR 14 17:36:00,-72.9486,146.7833,252.3325,14.7267,75.5016,1.8682e-14,75.5016
TGO,2019 MAR 14 18:24:00,-70.5165,142.2835,381.0518,15.2056,75.4603,0.39829,75.4723

MRO,2019 MAR 15 16:03:00,-71.158,178.0448,251.8133,14.6642,74.1926,1.5934e-14,74.1926
TGO,2019 MAR 15 16:00:00,-71.2873,-178.4745,379.5208,14.8475,74.8855,2.0614,72.9328

MRO,2019 MAR 17 09:12:00,-70.3642,-62.824,250.2599,14.6631,73.962,1.4312e-14,73.962
TGO,2019 MAR 17 09:15:00,-70.895,-65.57,381.8802,14.5286,73.9278,1.2772,72.7069

MRO,2019 MAR 18 07:39:00,-68.8424,-31.2372,253.1123,14.6222,72.8914,5.334e-14,72.8914
TGO,2019 MAR 18 06:51:00,-70.9958,-26.5978,379.789,14.1528,73.1056,2.342,75.4409

MRO,2019 MAR 20 10:09:00,-67.4967,-48.8477,251.9241,14.6067,72.2718,7.2876e-15,72.2718
TGO,2019 MAR 20 09:57:00,-67.688,-45.4817,381.7264,14.6364,72.5235,0.39449,72.495

MRO,2019 MAR 22 03:18:00,-65.9739,70.0925,249.9051,14.5933,71.4404,5.1383e-14,71.4404
TGO,2019 MAR 22 03:12:00,-67.3672,67.4986,379.9909,14.3231,71.5031,0.38206,71.4597

