S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 AUG 08 00:03:00,4.9485,-58.7403,268.2286,15.3306,56.695,2.5556e-14,56.695
TGO,2020 AUG 08 00:27:00,2.5286,-62.2695,393.7047,15.4842,57.3421,0.24848,57.4747

MRO,2020 AUG 08 01:54:00,1.2863,-85.5791,265.7599,15.3408,54.8532,4.8733e-15,54.8532
TGO,2020 AUG 08 02:27:00,-3.6648,-89.9337,390.1005,15.5856,55.6364,0.78176,54.9566

MRO,2020 AUG 09 00:18:00,-5.3498,-52.2437,262.7851,15.3536,51.7872,3.2601e-14,51.7872
TGO,2020 AUG 09 00:06:00,-9.5656,-47.4988,388.6183,15.4753,51.6224,1.3513,52.9676

MRO,2020 AUG 09 00:21:00,4.2693,-53.4311,268.1099,15.3231,56.2586,6.4106e-14,56.2586
TGO,2020 AUG 09 00:00:00,8.0732,-50.9635,396.8787,15.1469,56.2957,1.5246,57.7558

MRO,2020 AUG 09 02:12:00,0.57029,-80.272,265.4611,15.3333,54.4105,1.4412e-14,54.4105
TGO,2020 AUG 09 02:00:00,1.9955,-78.3089,393.1428,15.2694,54.3477,2.4116,52.1505

MRO,2020 AUG 09 04:03:00,-3.0465,-107.0968,263.6174,15.3444,52.7509,1.6984e-14,52.7509
TGO,2020 AUG 09 04:00:00,-4.3512,-106.28,389.4615,15.3503,52.209,0.32946,52.3807

MRO,2020 AUG 09 05:54:00,-6.6906,-133.9241,262.5407,15.3558,51.22,5.9418e-14,51.22
TGO,2020 AUG 09 06:00:00,-10.6051,-133.9579,387.0537,15.4508,50.8807,0.2622,50.883

MRO,2020 AUG 09 05:57:00,2.9311,-135.1199,267.7529,15.3247,55.5554,4.0748e-14,55.5554
TGO,2020 AUG 09 05:54:00,7.0448,-137.4023,395.2182,15.1239,55.4118,0.19605,55.5112

MRO,2020 AUG 09 07:48:00,-0.8281,-161.9557,266.2708,15.3353,53.7267,2.5649e-14,53.7267
