TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 AUG 09 00:06:00,5,5
2020 AUG 09 00:00:00,5,5
2020 AUG 09 02:00:00,6,6
2020 AUG 09 04:00:00,7,7
2020 AUG 09 06:00:00,8,8
2020 AUG 09 05:54:00,8,8
2020 AUG 09 07:54:00,9,9
2020 AUG 09 09:54:00,10,10
2020 AUG 10 11:30:00,23,23
2020 AUG 10 11:33:00,23,23
2020 AUG 10 13:30:00,24,24
2020 AUG 10 17:27:00,26,26
2020 AUG 10 19:27:00,27,27
2020 AUG 10 19:24:00,27,27
2020 AUG 11 21:03:00,40,40
2020 AUG 11 23:00:00,41,41
2020 AUG 12 01:00:00,42,42
2020 AUG 12 02:57:00,43,43
2020 AUG 12 04:54:00,44,44
2020 AUG 12 06:54:00,45,45
2020 AUG 13 08:27:00,58,58
2020 AUG 13 10:27:00,59,59
2020 AUG 13 12:24:00,60,60
2020 AUG 13 18:21:00,63,63
2020 AUG 14 00:15:00,66,66
2020 AUG 15 03:45:00,80,80
2020 AUG 15 05:45:00,81,81
2020 AUG 15 07:42:00,82,82
2020 AUG 15 09:39:00,83,83
2020 AUG 15 11:39:00,84,84
2020 AUG 16 17:09:00,99,99
2020 AUG 16 23:03:00,102,102
2020 AUG 17 01:00:00,103,103
2020 AUG 19 10:00:00,132,132
2020 AUG 19 13:57:00,134,134
2020 AUG 19 15:54:00,135,135
2020 AUG 19 17:51:00,136,136
2020 AUG 19 21:48:00,138,138
2020 AUG 21 05:15:00,154,154
2020 AUG 21 09:12:00,156,156
2020 AUG 21 11:09:00,157,157
2020 AUG 21 15:06:00,159,159
2020 AUG 24 02:03:00,189,189
2020 AUG 24 07:57:00,192,192
2020 AUG 24 11:54:00,194,194
2020 AUG 24 13:51:00,195,195
2020 AUG 24 17:48:00,197,197
2020 AUG 24 23:42:00,200,200
2020 AUG 27 10:39:00,230,230
2020 AUG 27 16:33:00,233,233
2020 AUG 27 22:27:00,236,236
2020 AUG 30 09:24:00,266,266
2020 AUG 30 15:18:00,269,269
2020 AUG 30 19:15:00,271,271
2020 AUG 30 21:12:00,272,272
2020 AUG 31 01:09:00,274,274
2020 SEP 02 23:54:00,310,310
2020 SEP 03 05:48:00,313,313
2020 SEP 03 11:42:00,316,316
