MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 SEP 05 22:20:53,2020 SEP 05 22:25:53,4,4
2020 SEP 06 16:02:01,2020 SEP 06 16:07:01,13,13
2020 SEP 08 03:22:07,2020 SEP 08 03:27:07,31,31
2020 SEP 09 04:56:35,2020 SEP 09 05:01:35,44,44
2020 SEP 10 18:15:31,2020 SEP 10 18:20:31,63,63
2020 SEP 11 04:08:32,2020 SEP 11 04:13:32,68,68
2020 SEP 11 14:01:15,2020 SEP 11 14:06:15,73,73
2020 SEP 11 23:52:23,2020 SEP 11 23:57:23,78,78
2020 SEP 12 03:43:07,2020 SEP 12 03:48:07,80,80
2020 SEP 12 11:37:05,2020 SEP 12 11:42:05,84,84
2020 SEP 12 23:31:44,2020 SEP 12 23:36:44,90,90
2020 SEP 13 03:30:41,2020 SEP 13 03:35:41,92,92
2020 SEP 13 09:18:33,2020 SEP 13 09:23:33,95,95
2020 SEP 13 15:14:19,2020 SEP 13 15:19:19,98,98
2020 SEP 13 22:58:31,2020 SEP 13 23:03:31,102,102
2020 SEP 15 18:17:27,2020 SEP 15 18:22:27,124,124
2020 SEP 15 20:21:33,2020 SEP 15 20:26:33,125,125
2020 SEP 16 06:02:49,2020 SEP 16 06:07:49,130,130
2020 SEP 16 15:55:44,2020 SEP 16 16:00:44,135,135
2020 SEP 16 17:55:57,2020 SEP 16 18:00:57,136,136
2020 SEP 17 17:30:38,2020 SEP 17 17:35:38,148,148
2020 SEP 18 01:18:51,2020 SEP 18 01:23:51,152,152
2020 SEP 18 05:24:24,2020 SEP 18 05:29:24,154,154
2020 SEP 18 15:05:22,2020 SEP 18 15:10:22,159,159
2020 SEP 18 19:03:55,2020 SEP 18 19:08:55,161,161
2020 SEP 19 10:48:34,2020 SEP 19 10:53:34,169,169
2020 SEP 20 00:39:27,2020 SEP 20 00:44:27,176,176
2020 SEP 20 04:35:20,2020 SEP 20 04:40:20,178,178
2020 SEP 20 12:30:00,2020 SEP 20 12:35:00,182,182
2020 SEP 20 18:20:00,2020 SEP 20 18:25:00,185,185
2020 SEP 21 06:07:30,2020 SEP 21 06:12:30,191,191
2020 SEP 21 08:08:26,2020 SEP 21 08:13:26,192,192
2020 SEP 21 15:57:12,2020 SEP 21 16:02:12,196,196
2020 SEP 21 17:50:33,2020 SEP 21 17:55:33,197,197
2020 SEP 22 03:47:38,2020 SEP 22 03:50:40,202,202
2020 SEP 22 05:49:50,2020 SEP 22 05:54:50,203,203
2020 SEP 22 07:44:15,2020 SEP 22 07:49:15,204,204
2020 SEP 22 09:45:31,2020 SEP 22 09:50:31,205,205
2020 SEP 23 07:20:47,2020 SEP 23 07:25:47,216,216
2020 SEP 23 09:19:02,2020 SEP 23 09:24:02,217,217
2020 SEP 23 11:19:00,2020 SEP 23 11:24:00,218,218
2020 SEP 23 21:07:27,2020 SEP 23 21:12:27,223,223
2020 SEP 23 23:04:28,2020 SEP 23 23:09:28,224,224
2020 SEP 24 04:56:52,2020 SEP 24 05:01:52,227,227
2020 SEP 24 08:52:08,2020 SEP 24 08:57:08,229,229
2020 SEP 25 06:36:30,2020 SEP 25 06:41:30,240,240
2020 SEP 26 04:12:42,2020 SEP 26 04:17:42,251,251
2020 SEP 26 08:05:59,2020 SEP 26 08:10:59,253,253
2020 SEP 26 10:04:11,2020 SEP 26 10:09:11,254,254
2020 SEP 26 12:02:26,2020 SEP 26 12:07:26,255,255
2020 SEP 26 23:48:49,2020 SEP 26 23:53:49,261,261
2020 SEP 27 17:31:52,2020 SEP 27 17:36:52,270,270
2020 SEP 27 21:28:14,2020 SEP 27 21:33:14,272,272
2020 SEP 29 00:55:12,2020 SEP 29 01:00:12,286,286
2020 SEP 29 06:53:41,2020 SEP 29 06:58:41,289,289
2020 SEP 29 08:51:29,2020 SEP 29 08:56:29,290,290
2020 SEP 29 18:41:56,2020 SEP 29 18:46:56,295,295
2020 SEP 30 00:36:03,2020 SEP 30 00:41:03,298,298
2020 SEP 30 08:27:12,2020 SEP 30 08:32:12,302,302
2020 SEP 30 12:20:15,2020 SEP 30 12:22:22,304,304
2020 SEP 30 18:16:36,2020 SEP 30 18:21:36,307,307
2020 OCT 01 04:04:36,2020 OCT 01 04:09:36,312,312
2020 OCT 01 06:04:15,2020 OCT 01 06:09:15,313,313
2020 OCT 01 08:03:20,2020 OCT 01 08:08:20,314,314
2020 OCT 01 09:58:55,2020 OCT 01 10:03:55,315,315
2020 OCT 01 11:58:07,2020 OCT 01 12:03:07,316,316
2020 OCT 01 15:54:28,2020 OCT 01 15:59:28,318,318
2020 OCT 01 17:51:50,2020 OCT 01 17:56:50,319,319
2020 OCT 01 19:49:36,2020 OCT 01 19:54:36,320,320
2020 OCT 01 23:48:10,2020 OCT 01 23:53:10,322,322
2020 OCT 02 03:43:44,2020 OCT 02 03:46:29,324,324
2020 OCT 02 05:40:27,2020 OCT 02 05:45:27,325,325
2020 OCT 02 07:39:25,2020 OCT 02 07:44:25,326,326
2020 OCT 02 09:37:19,2020 OCT 02 09:42:19,327,327
2020 OCT 02 11:34:46,2020 OCT 02 11:39:46,328,328
2020 OCT 02 15:27:26,2020 OCT 02 15:32:26,330,330
2020 OCT 02 21:23:37,2020 OCT 02 21:28:37,333,333
2020 OCT 03 07:14:04,2020 OCT 03 07:19:04,338,338
2020 OCT 03 11:10:14,2020 OCT 03 11:15:14,340,340
