MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2020 DEC 02 00:56:43,2020 DEC 02 00:58:30,42,42
2020 DEC 03 02:36:53,2020 DEC 03 02:41:15,55,55
2020 DEC 03 18:14:12,2020 DEC 03 18:19:12,63,63
2020 DEC 10 01:47:55,2020 DEC 10 01:50:59,140,140
2020 DEC 13 16:15:25,2020 DEC 13 16:20:25,184,184
2020 DEC 15 13:26:44,2020 DEC 15 13:31:44,207,207
2020 DEC 16 01:13:33,2020 DEC 16 01:13:52,213,213
2020 DEC 17 08:35:13,2020 DEC 17 08:40:13,229,229
2020 DEC 17 22:21:59,2020 DEC 17 22:26:59,236,236
2020 DEC 18 00:25:42,2020 DEC 18 00:30:17,237,237
2020 DEC 19 01:55:59,2020 DEC 19 02:00:59,250,250
2020 DEC 20 09:19:48,2020 DEC 20 09:24:48,266,266
2020 DEC 21 09:01:05,2020 DEC 21 09:01:57,278,278
2020 DEC 21 12:52:42,2020 DEC 21 12:57:42,280,280
2020 DEC 22 04:39:29,2020 DEC 22 04:44:29,288,288
2020 DEC 23 14:05:13,2020 DEC 23 14:10:13,305,305
2020 DEC 24 15:39:14,2020 DEC 24 15:44:14,318,318
2020 DEC 24 17:34:34,2020 DEC 24 17:39:34,319,319
