Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Grazing solar occultation observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km: entry (UTC),Min. Limb Height switch SCI1 to SCI2 (UTC),Limb Height 250 km: exit (UTC),Min. Limb Height (km),Latitude probed @ min. limb height (deg),Longitude probed @ min. limb height (deg),Beta angle (deg),Local Solar Time (LST): TGO2SUN vector surface intercept point @ min. limb height (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,8,22354,0,0,0,1,0,2022 NOV 27 04:53:37,2022 NOV 27 05:38:25,2022 NOV 27 04:53:47,2022 NOV 27 05:38:25,N/A,N/A,2022 NOV 27 05:03:47,2022 NOV 27 05:38:25,2022 NOV 27 05:04:17,2022 NOV 27 05:21:17,2022 NOV 27 05:37:55,2.0846,45.8799,90.9632,62.9416,17.5592,345.0644,198.1556,N/A,376.4128,573.439,10,640,1660,30,30,2678,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2078,300,735,1400002C000A0280067C1E1E0A760301000D000D000000000000000000000000000000000262081E012C02DF
5,5,2,11,22357,0,0,0,1,0,2022 NOV 27 10:47:54,2022 NOV 27 11:32:05,2022 NOV 27 10:48:04,2022 NOV 27 11:32:05,N/A,N/A,2022 NOV 27 10:58:04,2022 NOV 27 11:32:05,2022 NOV 27 10:58:34,2022 NOV 27 11:15:14,2022 NOV 27 11:31:35,18.7082,46.8125,4.6708,63.4269,17.5483,345.1932,194.6539,N/A,369.7105,563.2552,10,640,1640,30,30,2641,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2041,300,896,1400002C000A028006681E1E0A510301000D000D00000000000000000000000000000000026207F9012C0380
5,5,3,14,22360,0,0,0,1,0,2022 NOV 27 16:42:29,2022 NOV 27 17:25:59,2022 NOV 27 16:42:39,2022 NOV 27 17:25:59,N/A,N/A,2022 NOV 27 16:52:39,2022 NOV 27 17:25:59,2022 NOV 27 16:53:09,2022 NOV 27 17:09:28,2022 NOV 27 17:25:29,35.0275,48.0041,-81.7581,63.9588,17.5331,345.3221,190.7735,N/A,362.2837,551.9705,10,640,1619,30,30,2600,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2000,300,793,1400002C000A028006531E1E0A280301000D000D00000000000000000000000000000000026207D0012C0319
5,5,4,16,22362,0,0,0,1,0,2022 NOV 27 20:38:40,2022 NOV 27 21:21:48,2022 NOV 27 20:38:50,2022 NOV 27 21:21:48,N/A,N/A,2022 NOV 27 20:48:50,2022 NOV 27 21:21:48,2022 NOV 27 20:49:20,2022 NOV 27 21:05:27,2022 NOV 27 21:21:18,45.0488,48.6875,-139.3122,64.3109,17.5244,345.4079,188.6914,N/A,358.2986,545.9152,10,640,1607,30,30,2578,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1978,300,737,1400002C000A028006471E1E0A120301000D000D00000000000000000000000000000000026207BA012C02E1
5,5,5,17,22363,0,0,0,1,0,2022 NOV 27 22:36:49,2022 NOV 27 23:19:45,2022 NOV 27 22:36:59,2022 NOV 27 23:19:45,N/A,N/A,2022 NOV 27 22:46:59,2022 NOV 27 23:19:45,2022 NOV 27 22:47:29,2022 NOV 27 23:03:27,2022 NOV 27 23:19:15,49.2779,49.0184,-168.0896,64.4306,17.5203,345.4508,187.5557,N/A,356.1249,542.6124,10,640,1598,30,30,2566,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1966,300,704,1400002C000A0280063E1E1E0A060301000D000D00000000000000000000000000000000026207AE012C02C0
5,5,6,20,22366,0,0,0,1,0,2022 NOV 28 04:31:20,2022 NOV 28 05:13:36,2022 NOV 28 04:31:30,2022 NOV 28 05:13:36,N/A,N/A,2022 NOV 28 04:41:30,2022 NOV 28 05:13:36,2022 NOV 28 04:42:00,2022 NOV 28 04:57:45,2022 NOV 28 05:13:06,62.9537,50.4742,105.3782,64.9093,17.4992,345.5796,183.77,N/A,348.8792,531.6029,10,640,1585,30,30,2526,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1926,300,866,1400002C000A028006311E1E09DE0301000D000D0000000000000000000000000000000002620786012C0362
5,5,7,23,22369,0,0,0,1,0,2022 NOV 28 10:25:42,2022 NOV 28 11:07:17,2022 NOV 28 10:25:52,2022 NOV 28 11:07:17,N/A,N/A,2022 NOV 28 10:35:52,2022 NOV 28 11:07:17,2022 NOV 28 10:36:22,2022 NOV 28 10:51:47,2022 NOV 28 11:06:47,77.5554,51.6126,18.9828,65.3959,17.4831,345.7082,179.8897,N/A,341.4524,520.3181,10,640,1565,30,30,2485,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1885,300,764,1400002C000A0280061D1E1E09B50301000D000D000000000000000000000000000000000262075D012C02FC
5,5,8,26,22372,0,0,0,1,0,2022 NOV 28 16:20:25,2022 NOV 28 17:01:16,2022 NOV 28 16:20:35,2022 NOV 28 17:01:16,N/A,N/A,2022 NOV 28 16:30:35,2022 NOV 28 17:01:16,2022 NOV 28 16:31:05,2022 NOV 28 16:46:04,2022 NOV 28 17:00:46,90.3166,52.924,-67.5346,65.8327,17.4625,345.8369,175.7254,N/A,333.4822,508.2077,10,640,1539,30,30,2441,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1841,300,650,1400002C000A028006031E1E09890301000D000D0000000000000000000000000000000002620731012C028A
5,5,9,27,22373,0,0,0,1,0,2022 NOV 28 18:18:37,2022 NOV 28 18:59:07,2022 NOV 28 18:18:47,2022 NOV 28 18:59:07,N/A,N/A,2022 NOV 28 18:28:47,2022 NOV 28 18:59:07,2022 NOV 28 18:29:17,2022 NOV 28 18:44:07,2022 NOV 28 18:58:37,96.096,53.3577,-96.3656,66.0267,17.4556,345.8798,173.738,N/A,329.6782,502.4277,10,640,1530,30,30,2420,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1820,300,854,1400002C000A028005FA1E1E09740301000D000D000000000000000000000000000000000262071C012C0356
5,5,10,149,22496,0,0,0,1,0,2022 DEC 08 18:30:56,2022 DEC 08 19:12:05,2022 DEC 08 18:31:06,2022 DEC 08 19:12:05,N/A,N/A,2022 DEC 08 18:41:06,2022 DEC 08 19:12:05,2022 DEC 08 18:41:36,2022 DEC 08 18:56:21,2022 DEC 08 19:11:35,82.4532,44.7825,-171.5538,65.7179,6.2544,351.068,177.429,N/A,336.7427,513.1619,10,640,1525,30,30,2459,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1859,300,927,1400002C000A028005F51E1E099B0301000D000D0000000000000000000000000000000002620743012C039F
