MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2022 DEC 24 15:36:00,32.6455,152.2332,288.2142,14.3842,47.3665,2.3801e-14,47.3665,2022 DEC 24 15:36:00,31.6374,151.9564,410.2114,14.3658,46.5682,0.050225,46.5864
2022 DEC 24 17:30:00,38.3637,124.082,291.7388,14.3569,50.7555,5.4349e-14,50.7555,2022 DEC 24 17:36:00,37.632,124.7512,412.8756,14.4989,51.5533,0.051569,51.537
2022 DEC 26 08:48:00,46.698,-90.418,297.6046,14.3133,55.9312,2.6988e-14,55.9312,2022 DEC 26 08:57:00,45.9019,-91.0373,419.4208,14.4181,56.1169,1.1201,56.6781
2022 DEC 28 00:06:00,54.6632,54.9302,304.1675,14.2597,61.2413,2.8625e-14,61.2413,2022 DEC 28 00:18:00,53.9768,55.0735,424.9022,14.4639,61.8943,0.3486,61.7161
2022 DEC 29 13:30:00,56.9445,-131.411,304.1735,14.2439,62.6131,5.4813e-14,62.6131,2022 DEC 29 13:39:00,56.0924,-133.1548,426.1901,14.2736,62.1065,0.16213,62.0033
2022 DEC 31 02:54:00,59.5451,42.158,307.5531,14.2222,64.2329,1.3494e-14,64.2329,2022 DEC 31 02:57:00,58.7233,42.312,422.115,14.2811,63.868,62.032,3.4373
2023 JAN 03 13:12:00,67.8912,-81.3651,312.0385,14.1028,69.8085,4.9415e-14,69.8085,2023 JAN 03 13:36:00,67.9341,-83.1435,430.6491,14.3736,70.7272,0.11216,70.6891
2023 JAN 05 02:36:00,70.5005,91.6548,311.8719,14.045,71.486,4.2672e-14,71.486,2023 JAN 05 02:57:00,69.6802,91.3056,432.2628,14.3625,71.7397,0.10739,71.7155
2023 JAN 14 03:27:00,71.7552,165.624,316.0309,14.0728,70.7645,2.0178e-14,70.7645,2023 JAN 14 03:09:00,73.6365,164.064,432.699,13.6769,71.5127,0.15771,71.4995
2023 JAN 19 03:06:00,74.5545,-142.8807,313.5059,13.9825,71.9025,2.1336e-14,71.9025,2023 JAN 19 03:03:00,75.4838,-143.5341,435.1421,13.8903,72.5155,0.11972,72.3961
