Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Arsia Mons                                           ,1,1,73,2023 JUL 14 14:25:59,2023 JUL 14 14:26:18,-6.9189,-123.4913,-7.8517,-123.327,41.6496,42.2613,42.449,43.0288,1.127,1.0942,10.1044,10.1203
Pavonis Mons                                         ,1,3,197,2023 JUL 24 18:02:59,2023 JUL 24 18:03:35,3.4013,-113.288,1.6482,-112.9931,61.637,62.0495,62.7326,63.1467,1.274,1.2753,7.9067,7.9358
Pavonis Mons                                         ,2,3,309,2023 AUG 02 22:08:33,2023 AUG 02 22:09:09,3.402,-114.4204,1.6471,-114.0584,83.6619,84.542,87.8051,88.0893,4.3482,3.7316,6.0553,6.0892
Ascraeus Mons                                        ,1,3,122,2023 JUL 18 14:36:55,2023 JUL 18 14:37:31,12.4015,-104.3803,10.6478,-104.0879,45.7136,45.8783,44.236,44.5726,1.479,1.3074,8.9967,9.0258
Ascraeus Mons                                        ,2,5,234,2023 JUL 27 18:42:32,2023 JUL 27 18:43:08,12.4015,-104.6832,10.6478,-104.3756,74.5191,74.7787,68.5543,68.8244,6.0512,6.057,7.2022,7.2322
Eastern Coprates                                     ,1,3,133,2023 JUL 19 12:22:22,2023 JUL 19 12:22:58,-12.5989,-58.5376,-14.3517,-58.2176,55.6059,56.4829,55.4649,56.3659,0.14364,0.11932,9.2303,9.2611
Eastern Coprates                                     ,2,3,245,2023 JUL 28 16:27:57,2023 JUL 28 16:28:32,-12.5985,-59.7665,-14.3523,-59.4,73.8401,74.7056,77.4218,77.8742,3.8585,3.4214,7.3733,7.4075
Elysium Cerberus Phlegra                             ,1,3,187,2023 JUL 23 22:12:51,2023 JUL 23 22:13:27,35.9039,169.4176,34.1445,169.9633,59.9258,59.8872,58.6163,58.3685,1.4261,1.6095,7.4467,7.4931
Elysium Cerberus Phlegra                             ,2,3,299,2023 AUG 02 02:18:26,2023 AUG 02 02:19:02,35.9038,168.4509,34.1447,168.9731,80.297,80.4987,80.0193,80.2242,0.60028,0.59318,5.6069,5.6517
Olympica Fossae-Jovis Tholus                         ,1,3,197,2023 JUL 24 17:57:03,2023 JUL 24 17:57:39,20.902,-116.4161,19.1471,-116.0749,59.6291,59.6339,60.2153,60.3298,0.80523,0.8969,7.6017,7.6342
Ceraunius Fossae                                     ,1,1,10,2023 JUL 09 10:26:43,2023 JUL 09 10:27:19,25.8758,-106.4889,24.1463,-106.101,19.0614,18.7258,19.5437,19.1968,0.48981,0.48697,10.5547,10.5903
Ceraunius Fossae                                     ,2,1,209,2023 JUL 25 17:30:14,2023 JUL 25 17:30:45,25.9031,-104.8683,24.386,-104.5,61.1286,61.3465,62.7738,62.7774,1.6972,1.4964,7.2967,7.3297
Ceraunius Fossae                                     ,3,3,321,2023 AUG 03 21:35:51,2023 AUG 03 21:36:27,25.9024,-105.2345,24.1466,-104.8738,87.4721,87.5953,85.5215,85.8682,1.9557,1.7289,5.4972,5.5311
Claritas Rise                                        ,1,1,35,2023 JUL 11 11:52:29,2023 JUL 11 11:53:05,-27.5987,-99.7685,-29.3522,-99.3416,54.4877,56.0589,54.589,56.1752,0.1736,0.18758,11.1147,11.1531
Claritas Rise                                        ,2,3,147,2023 JUL 20 15:58:05,2023 JUL 20 15:58:41,-27.5987,-100.5649,-29.3522,-100.1372,65.8495,66.8728,65.9145,66.9494,0.085113,0.09221,9.2881,9.3261
Claritas Rise                                        ,3,3,259,2023 JUL 29 20:04:03,2023 JUL 29 20:04:17,-28.6289,-100.9892,-29.3514,-100.8307,85.3639,85.4255,84.3881,84.6209,1.0427,0.86222,7.4908,7.5053
South Thaumasia                                      ,1,1,10,2023 JUL 09 10:48:33,2023 JUL 09 10:49:09,-38.5977,-93.3011,-40.3538,-92.6941,63.9965,65.7249,64.1825,65.9121,0.29154,0.29128,11.7881,11.8383
East Thaumasia                                       ,1,3,34,2023 JUL 11 09:55:29,2023 JUL 11 09:55:42,-30.0986,-70.1573,-30.7359,-70,56.9338,57.4869,56.7904,57.3744,0.4629,0.40231,11.1908,11.2047
East Thaumasia                                       ,2,1,146,2023 JUL 20 14:01:05,2023 JUL 20 14:01:40,-30.0984,-71.032,-31.8526,-70.5734,67.1856,68.2401,67.2676,68.3326,0.096429,0.10453,9.3586,9.3989
East Thaumasia                                       ,3,3,258,2023 JUL 29 18:06:40,2023 JUL 29 18:07:16,-30.0984,-71.8297,-31.8526,-71.3707,84.7399,85.2689,84.7529,85.2893,0.01741,0.027397,7.5308,7.5711
Uysses Fossae                                        ,1,3,48,2023 JUL 12 13:12:06,2023 JUL 12 13:12:42,11.4017,-123.2786,9.6475,-122.9616,27.5274,28.213,28.9575,29.5555,1.6201,1.5677,10.1992,10.23
Uysses Fossae                                        ,2,3,247,2023 JUL 28 20:15:35,2023 JUL 28 20:16:11,11.4017,-121.8734,9.6476,-121.5603,67.8161,68.0962,72.6899,72.971,5.1011,5.1125,6.9258,6.9561
