MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2023 DEC 23 10:54:00,61.5934,124.2689,307.9241,15.5361,69.2178,2.9323e-14,69.2178,2023 DEC 23 10:48:00,61.5635,126.3752,426.9053,15.5792,69.462,0.005994,69.4663
2023 DEC 23 12:45:00,57.8233,97.8819,304.3667,15.5775,67.5896,1.9363e-14,67.5896,2023 DEC 23 12:45:00,59.3061,95.005,426.0432,15.3858,67.0874,0.015747,67.0755
2023 DEC 25 00:18:00,61.5416,-61.6904,308.3034,15.5408,69.5467,5.5386e-14,69.5467,2023 DEC 25 00:09:00,63.5235,-61.0099,429.303,15.4403,70.0285,0.01447,70.0287
2023 DEC 26 08:06:00,63.4822,-166.341,310.0037,15.5158,70.7086,2.0365e-14,70.7086,2023 DEC 26 07:36:00,64.728,-161.9945,431.2253,15.3189,70.348,0.028032,70.3446
2023 DEC 29 22:09:00,69.5554,15.6602,312.8862,15.4031,74.3586,5.0396e-14,74.3586,2023 DEC 29 22:06:00,69.5554,14.663,431.6673,15.2878,73.8821,0.066136,73.896
2023 DEC 31 05:57:00,70.9688,-89.3573,313.3744,15.3531,75.2957,1.7128e-14,75.2957,2023 DEC 31 05:33:00,70.7676,-84.9827,431.3912,15.2553,74.7951,0.077402,74.8133
2023 DEC 31 11:33:00,69.3309,-170.2358,313.2026,15.4117,74.6125,2.4482e-14,74.6125,2023 DEC 31 11:27:00,71.1634,-170.2411,433.1503,15.3139,75.3167,0.079771,75.3395
2024 JAN 03 21:51:00,73.4342,66.0652,312.1746,15.2681,77.3448,4.0739e-14,77.3448,2024 JAN 03 22:00:00,72.8221,61.3719,432.905,15.1014,76.4062,0.099502,76.4293
2024 JAN 05 11:15:00,73.4696,-119.9004,313.5528,15.2719,77.7384,1.8614e-14,77.7384,2024 JAN 05 11:21:00,73.9291,-122.142,434.3967,15.2197,77.864,1.4027,79.2486
2024 JAN 06 19:03:00,75.1939,135.0355,316.1373,15.2186,78.9778,1.4224e-14,78.9778,2024 JAN 06 18:48:00,74.6481,139.4125,432.3928,15.2669,78.7704,1.8312,80.5421
2024 JAN 11 20:36:00,75.9912,160.0195,317.3859,15.1875,80.5952,2.0811e-14,80.5952,2024 JAN 11 20:39:00,75.0474,160.7818,432.6497,15.2872,80.2695,15.1084,72.1105
2024 JAN 13 10:00:00,76.3388,-26.1877,314.5077,15.1747,81.1564,1.242e-14,81.1564,2024 JAN 13 10:00:00,75.841,-26.7797,433.2196,15.135,80.7227,0.12748,80.7651
