TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 DEC 23 20:39:00,3,3
2023 DEC 25 00:09:00,17,17
2023 DEC 25 02:06:00,18,18
2023 DEC 25 10:00:00,22,22
2023 DEC 26 07:36:00,33,33
2023 DEC 25 10:00:00,22,22
2023 DEC 26 23:21:00,41,41
2023 DEC 27 20:57:00,52,52
2023 DEC 29 10:18:00,71,71
2023 DEC 29 22:06:00,77,77
2023 DEC 31 05:33:00,93,93
2023 DEC 31 11:27:00,96,96
2023 DEC 31 23:15:00,102,102
2024 JAN 02 06:42:00,118,118
2024 JAN 03 10:12:00,132,132
2024 JAN 02 12:36:00,121,121
2024 JAN 03 22:00:00,138,138
2024 JAN 06 18:48:00,173,173
2024 JAN 10 11:15:00,218,218
2024 JAN 10 17:09:00,221,221
2024 JAN 10 11:15:00,218,218
2024 JAN 11 20:39:00,235,235
2024 JAN 13 10:00:00,254,254
2024 JAN 16 08:45:00,290,290
2024 JAN 17 02:27:00,299,299
