Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,2,27136,0,0,0,1,0,2023 DEC 23 17:28:18,2023 DEC 23 17:43:26,2023 DEC 23 17:28:28,2023 DEC 23 17:43:26,N/A,N/A,2023 DEC 23 17:38:28,2023 DEC 23 17:43:26,2023 DEC 23 17:42:56,-68.5327,-106.2169,2023 DEC 23 17:38:58,-62.7367,-109.8815,2023 DEC 23 17:39:38,25.5513,2351,6.4953,169.0425,29.6926,N/A,53.9803,83.5156,10,640,680,30,30,898,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,298,300,785,1400002C000A028002A81E1E03820301000D000D000000000000000000000000000000000262012A012C0311
1,1,2,0,6,27140,0,0,0,1,0,2023 DEC 24 01:20:05,2023 DEC 24 01:35:13,2023 DEC 24 01:20:15,2023 DEC 24 01:35:13,N/A,N/A,2023 DEC 24 01:30:15,2023 DEC 24 01:35:13,2023 DEC 24 01:34:43,-69.0493,139.1119,2023 DEC 24 01:30:45,-63.5643,133.8509,2023 DEC 24 01:31:26,24.5892,2361,6.3975,169.221,29.6926,N/A,53.9803,83.5156,10,640,681,30,30,898,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,298,300,786,1400002C000A028002A91E1E03820301000D000D000000000000000000000000000000000262012A012C0312
1,1,3,0,8,27142,0,0,0,1,0,2023 DEC 24 05:15:57,2023 DEC 24 05:31:03,2023 DEC 24 05:16:07,2023 DEC 24 05:31:03,N/A,N/A,2023 DEC 24 05:26:07,2023 DEC 24 05:31:03,2023 DEC 24 05:30:33,-69.0755,81.6415,2023 DEC 24 05:26:37,-63.6215,78.3619,2023 DEC 24 05:27:17,24.0974,2366,6.5244,169.3103,29.5034,N/A,53.618,82.9651,10,640,680,30,30,896,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,296,300,781,1400002C000A028002A81E1E03800301000D000D0000000000000000000000000000000002620128012C030D
1,1,4,0,10,27144,0,0,0,1,0,2023 DEC 24 09:11:55,2023 DEC 24 09:27:00,2023 DEC 24 09:12:05,2023 DEC 24 09:27:00,N/A,N/A,2023 DEC 24 09:22:05,2023 DEC 24 09:27:00,2023 DEC 24 09:26:30,-69.2633,24.2464,2023 DEC 24 09:22:35,-64.0033,20.0353,2023 DEC 24 09:23:15,23.6029,2372,6.4639,169.3996,29.4087,N/A,53.4369,82.6899,10,640,680,30,30,895,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,295,300,779,1400002C000A028002A81E1E037F0301000D000D0000000000000000000000000000000002620127012C030B
1,1,5,0,12,27146,0,0,0,1,0,2023 DEC 24 13:07:45,2023 DEC 24 13:22:50,2023 DEC 24 13:07:55,2023 DEC 24 13:22:50,N/A,N/A,2023 DEC 24 13:17:55,2023 DEC 24 13:22:50,2023 DEC 24 13:22:20,-69.5244,-33.0722,2023 DEC 24 13:18:25,-64.3691,-37.3119,2023 DEC 24 13:19:05,23.1334,2376,6.4664,169.4889,29.4087,N/A,53.4369,82.6899,10,640,680,30,30,895,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,295,300,779,1400002C000A028002A81E1E037F0301000D000D0000000000000000000000000000000002620127012C030B
1,1,6,0,15,27149,0,0,0,1,0,2023 DEC 24 19:01:32,2023 DEC 24 19:16:34,2023 DEC 24 19:01:42,2023 DEC 24 19:16:34,N/A,N/A,2023 DEC 24 19:11:42,2023 DEC 24 19:16:34,2023 DEC 24 19:16:04,-69.5784,-119.2679,2023 DEC 24 19:12:12,-64.7068,-124.4943,2023 DEC 24 19:12:52,22.3976,2382,6.3933,169.623,29.1248,N/A,52.8934,81.8642,10,640,680,30,30,892,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,292,300,773,1400002C000A028002A81E1E037C0301000D000D0000000000000000000000000000000002620124012C0305
1,1,7,0,21,27155,0,0,0,1,0,2023 DEC 25 06:49:10,2023 DEC 25 07:04:10,2023 DEC 25 06:49:20,2023 DEC 25 07:04:10,N/A,N/A,2023 DEC 25 06:59:20,2023 DEC 25 07:04:10,2023 DEC 25 07:03:40,-70.0459,68.5413,2023 DEC 25 06:59:50,-65.4906,64.1111,2023 DEC 25 07:00:29,20.9409,2395,6.4464,169.8912,28.9355,N/A,52.5311,81.3137,10,640,679,30,30,890,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,290,300,768,1400002C000A028002A71E1E037A0301000D000D0000000000000000000000000000000002620122012C0300
1,1,8,0,23,27157,0,0,0,1,0,2023 DEC 25 10:45:07,2023 DEC 25 11:00:06,2023 DEC 25 10:45:17,2023 DEC 25 11:00:06,N/A,N/A,2023 DEC 25 10:55:17,2023 DEC 25 11:00:06,2023 DEC 25 10:59:36,-70.2719,11.1746,2023 DEC 25 10:55:47,-65.8356,6.8877,2023 DEC 25 10:56:26,20.4522,2400,6.4589,169.9807,28.8409,N/A,52.35,81.0385,10,640,679,30,30,889,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,289,300,766,1400002C000A028002A71E1E03790301000D000D0000000000000000000000000000000002620121012C02FE
1,1,9,0,26,27160,0,0,0,1,0,2023 DEC 25 16:38:50,2023 DEC 25 16:53:48,2023 DEC 25 16:39:00,2023 DEC 25 16:53:48,N/A,N/A,2023 DEC 25 16:49:00,2023 DEC 25 16:53:48,2023 DEC 25 16:53:18,-70.4472,-74.9372,2023 DEC 25 16:49:30,-66.177,-79.0608,2023 DEC 25 16:50:09,19.7405,2405,6.4669,170.115,28.7462,N/A,52.1689,80.7632,10,640,679,30,30,888,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,288,300,764,1400002C000A028002A71E1E03780301000D000D0000000000000000000000000000000002620120012C02FC
1,1,10,0,30,27164,0,0,0,1,0,2023 DEC 26 00:30:40,2023 DEC 26 00:45:37,2023 DEC 26 00:30:50,2023 DEC 26 00:45:37,N/A,N/A,2023 DEC 26 00:40:50,2023 DEC 26 00:45:37,2023 DEC 26 00:45:07,-70.8552,170.3119,2023 DEC 26 00:41:20,-66.7991,166.5294,2023 DEC 26 00:41:58,18.7555,2412,6.4939,170.2941,28.6516,N/A,51.9877,80.488,10,640,678,30,30,887,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,287,300,761,1400002C000A028002A61E1E03770301000D000D000000000000000000000000000000000262011F012C02F9
