Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,2,28504,0,0,0,1,0,2024 APR 13 16:53:58,2024 APR 13 17:06:29,2024 APR 13 16:54:08,2024 APR 13 17:06:29,N/A,N/A,2024 APR 13 17:01:28,2024 APR 13 17:06:29,2024 APR 13 17:01:58,60.6348,32.1626,2024 APR 13 17:05:59,66.2376,19.5985,2024 APR 13 17:05:16,31.8235,2283,14.4039,235.4982,29.5794,N/A,54.5237,83.9442,10,480,678,30,30,741,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,301,300,1074,1400002C000A01E002A61E1E02E50301000D000D0000000000000000000000000000000001C2012D012C0432
1,1,2,0,4,28506,0,0,0,1,0,2024 APR 13 20:49:55,2024 APR 13 21:02:24,2024 APR 13 20:50:05,2024 APR 13 21:02:24,N/A,N/A,2024 APR 13 20:57:25,2024 APR 13 21:02:24,2024 APR 13 20:57:55,60.6838,-25.4048,2024 APR 13 21:01:54,66.0571,-37.9018,2024 APR 13 21:01:12,31.3732,2290,14.3961,235.6016,29.3901,N/A,54.1614,83.3937,10,480,677,30,30,739,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,299,300,1069,1400002C000A01E002A51E1E02E30301000D000D0000000000000000000000000000000001C2012B012C042D
1,1,3,0,6,28508,0,0,0,1,0,2024 APR 14 00:45:48,2024 APR 14 00:58:16,2024 APR 14 00:45:58,2024 APR 14 00:58:16,N/A,N/A,2024 APR 14 00:53:18,2024 APR 14 00:58:16,2024 APR 14 00:53:48,60.8332,-83.1752,2024 APR 14 00:57:46,65.5104,-96.5117,2024 APR 14 00:57:04,31.0064,2294,14.3133,235.7049,29.2955,N/A,53.9803,83.1185,10,480,676,30,30,738,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,298,300,1066,1400002C000A01E002A41E1E02E20301000D000D0000000000000000000000000000000001C2012A012C042A
1,1,4,0,8,28510,0,0,0,1,0,2024 APR 14 04:41:35,2024 APR 14 04:54:02,2024 APR 14 04:41:45,2024 APR 14 04:54:02,N/A,N/A,2024 APR 14 04:49:05,2024 APR 14 04:54:02,2024 APR 14 04:49:35,60.8515,-140.6379,2024 APR 14 04:53:32,66.5063,-152.0573,2024 APR 14 04:52:50,30.544,2300,14.4331,235.8082,29.2009,N/A,53.7991,82.8432,10,480,675,30,30,737,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,297,300,1063,1400002C000A01E002A31E1E02E10301000D000D0000000000000000000000000000000001C20129012C0427
1,1,5,0,10,28512,0,0,0,1,0,2024 APR 14 08:37:32,2024 APR 14 08:49:57,2024 APR 14 08:37:42,2024 APR 14 08:49:57,N/A,N/A,2024 APR 14 08:45:02,2024 APR 14 08:49:57,2024 APR 14 08:45:32,60.9307,161.724,2024 APR 14 08:49:27,66.2407,150.1549,2024 APR 14 08:48:45,30.0966,2308,14.4058,235.9115,29.0116,N/A,53.4369,82.2928,10,480,673,30,30,735,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,295,300,1057,1400002C000A01E002A11E1E02DF0301000D000D0000000000000000000000000000000001C20127012C0421
1,1,6,0,12,28514,0,0,0,1,0,2024 APR 14 12:33:24,2024 APR 14 12:45:48,2024 APR 14 12:33:34,2024 APR 14 12:45:48,N/A,N/A,2024 APR 14 12:40:54,2024 APR 14 12:45:48,2024 APR 14 12:41:24,61.0055,104.1137,2024 APR 14 12:45:18,65.551,91.6245,2024 APR 14 12:44:37,29.7125,2313,14.3281,236.0148,28.9169,N/A,53.2557,82.0175,10,480,673,30,30,734,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,294,300,1055,1400002C000A01E002A11E1E02DE0301000D000D0000000000000000000000000000000001C20126012C041F
1,1,7,0,15,28517,0,0,0,1,0,2024 APR 14 18:27:09,2024 APR 14 18:39:32,2024 APR 14 18:27:19,2024 APR 14 18:39:32,N/A,N/A,2024 APR 14 18:34:39,2024 APR 14 18:39:32,2024 APR 14 18:35:09,61.0643,17.8278,2024 APR 14 18:39:02,66.4381,7.1287,2024 APR 14 18:38:21,29.0367,2321,14.4308,236.1698,28.8223,N/A,53.0746,81.7423,10,480,672,30,30,733,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,293,300,1052,1400002C000A01E002A01E1E02DD0301000D000D0000000000000000000000000000000001C20125012C041C
1,1,8,0,16,28518,0,0,0,1,0,2024 APR 14 20:25:08,2024 APR 14 20:37:29,2024 APR 14 20:25:18,2024 APR 14 20:37:29,N/A,N/A,2024 APR 14 20:32:38,2024 APR 14 20:37:29,2024 APR 14 20:33:08,61.0901,-10.9648,2024 APR 14 20:36:59,65.3346,-23.1587,2024 APR 14 20:36:19,28.8096,2324,14.3242,236.2215,28.633,N/A,52.7123,81.1918,10,480,671,30,30,731,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,291,300,1047,1400002C000A01E0029F1E1E02DB0301000D000D0000000000000000000000000000000001C20123012C0417
1,1,9,0,18,28520,0,0,0,1,0,2024 APR 15 00:21:04,2024 APR 15 00:33:24,2024 APR 15 00:21:14,2024 APR 15 00:33:24,N/A,N/A,2024 APR 15 00:28:34,2024 APR 15 00:33:24,2024 APR 15 00:29:04,61.2435,-68.7773,2024 APR 15 00:32:54,65.8872,-80.105,2024 APR 15 00:32:14,28.4215,2330,14.3531,236.3249,28.5384,N/A,52.5311,80.9166,10,480,670,30,30,730,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,290,300,1044,1400002C000A01E0029E1E1E02DA0301000D000D0000000000000000000000000000000001C20122012C0414
1,1,10,0,21,28523,0,0,0,1,0,2024 APR 15 06:14:47,2024 APR 15 06:27:05,2024 APR 15 06:14:57,2024 APR 15 06:27:05,N/A,N/A,2024 APR 15 06:22:17,2024 APR 15 06:27:05,2024 APR 15 06:22:47,61.2947,-155.0432,2024 APR 15 06:26:35,65.7959,-166.0436,2024 APR 15 06:25:55,27.7431,2338,14.3586,236.4799,28.3491,N/A,52.1689,80.3661,10,480,668,30,30,728,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,288,300,1038,1400002C000A01E0029C1E1E02D80301000D000D0000000000000000000000000000000001C20120012C040E
