Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2024 APR 13 14:59:06,2024 APR 13 16:57:00,7074,2024 APR 13 14:57:06,2024 APR 13 15:56:22,3556,2024 APR 13 15:56:23,2024 APR 13 16:55:00,3517,31.9936,2024 APR 13 16:25:30
1,1,2,2024 APR 13 16:57:01,2024 APR 13 18:54:59,7078,2024 APR 13 16:55:01,2024 APR 13 17:54:19,3558,2024 APR 13 17:54:20,2024 APR 13 18:52:59,3519,31.7608,2024 APR 13 18:23:28
3,3,3,2024 APR 13 18:55:00,2024 APR 13 20:53:00,7080,2024 APR 13 18:53:00,2024 APR 13 19:52:18,3558,2024 APR 13 19:52:19,2024 APR 13 20:51:00,3521,31.5362,2024 APR 13 20:21:28
1,1,4,2024 APR 13 20:53:01,2024 APR 13 22:50:58,7077,2024 APR 13 20:51:01,2024 APR 13 21:50:17,3556,2024 APR 13 21:50:18,2024 APR 13 22:48:58,3520,31.3263,2024 APR 13 22:19:27
3,3,5,2024 APR 13 22:50:59,2024 APR 14 00:48:55,7076,2024 APR 13 22:48:59,2024 APR 13 23:48:15,3556,2024 APR 13 23:48:16,2024 APR 14 00:46:55,3519,31.1362,2024 APR 14 00:17:23
1,1,6,2024 APR 14 00:48:56,2024 APR 14 02:46:49,7073,2024 APR 14 00:46:56,2024 APR 14 01:46:10,3554,2024 APR 14 01:46:11,2024 APR 14 02:44:49,3518,30.9521,2024 APR 14 02:15:18
3,3,7,2024 APR 14 02:46:50,2024 APR 14 04:44:44,7074,2024 APR 14 02:44:50,2024 APR 14 03:44:03,3553,2024 APR 14 03:44:04,2024 APR 14 04:42:44,3520,30.7364,2024 APR 14 04:13:12
1,1,8,2024 APR 14 04:44:45,2024 APR 14 06:42:41,7076,2024 APR 14 04:42:45,2024 APR 14 05:41:59,3554,2024 APR 14 05:42:00,2024 APR 14 06:40:41,3521,30.4796,2024 APR 14 06:11:09
3,3,9,2024 APR 14 06:42:42,2024 APR 14 08:40:41,7079,2024 APR 14 06:40:42,2024 APR 14 07:39:59,3557,2024 APR 14 07:40:00,2024 APR 14 08:38:41,3521,30.2393,2024 APR 14 08:09:09
1,1,10,2024 APR 14 08:40:42,2024 APR 14 10:38:40,7078,2024 APR 14 08:38:42,2024 APR 14 09:38:00,3558,2024 APR 14 09:38:01,2024 APR 14 10:36:40,3519,30.0342,2024 APR 14 10:07:09
3,3,11,2024 APR 14 10:38:41,2024 APR 14 12:36:38,7077,2024 APR 14 10:36:41,2024 APR 14 11:35:59,3558,2024 APR 14 11:36:00,2024 APR 14 12:34:38,3518,29.8534,2024 APR 14 12:05:07
1,1,12,2024 APR 14 12:36:39,2024 APR 14 14:34:32,7073,2024 APR 14 12:34:39,2024 APR 14 13:33:54,3555,2024 APR 14 13:33:55,2024 APR 14 14:32:32,3517,29.6703,2024 APR 14 14:03:02
3,3,13,2024 APR 14 14:34:33,2024 APR 14 16:32:26,7073,2024 APR 14 14:32:33,2024 APR 14 15:31:48,3555,2024 APR 14 15:31:49,2024 APR 14 16:30:26,3517,29.4475,2024 APR 14 16:00:56
3,3,14,2024 APR 14 16:32:27,2024 APR 14 18:30:24,7077,2024 APR 14 16:30:27,2024 APR 14 17:29:44,3557,2024 APR 14 17:29:45,2024 APR 14 18:28:24,3519,29.2082,2024 APR 14 17:58:53
1,1,15,2024 APR 14 18:30:25,2024 APR 14 20:28:24,7079,2024 APR 14 18:28:25,2024 APR 14 19:27:42,3557,2024 APR 14 19:27:43,2024 APR 14 20:26:24,3521,28.9763,2024 APR 14 19:56:52
1,1,16,2024 APR 14 20:28:25,2024 APR 14 22:26:23,7078,2024 APR 14 20:26:25,2024 APR 14 21:25:41,3556,2024 APR 14 21:25:42,2024 APR 14 22:24:23,3521,28.756,2024 APR 14 21:54:51
3,3,17,2024 APR 14 22:26:24,2024 APR 15 00:24:21,7077,2024 APR 14 22:24:24,2024 APR 14 23:23:40,3556,2024 APR 14 23:23:41,2024 APR 15 00:22:21,3520,28.5531,2024 APR 14 23:52:48
1,1,18,2024 APR 15 00:24:22,2024 APR 15 02:22:15,7073,2024 APR 15 00:22:22,2024 APR 15 01:21:36,3554,2024 APR 15 01:21:37,2024 APR 15 02:20:15,3518,28.3648,2024 APR 15 01:50:44
3,3,19,2024 APR 15 02:22:16,2024 APR 15 04:20:09,7073,2024 APR 15 02:20:16,2024 APR 15 03:19:29,3553,2024 APR 15 03:19:30,2024 APR 15 04:18:09,3519,28.1669,2024 APR 15 03:48:38
3,3,20,2024 APR 15 04:20:10,2024 APR 15 06:18:06,7076,2024 APR 15 04:18:10,2024 APR 15 05:17:24,3554,2024 APR 15 05:17:25,2024 APR 15 06:16:06,3521,27.9243,2024 APR 15 05:46:33
1,1,21,2024 APR 15 06:18:07,2024 APR 15 08:16:04,7077,2024 APR 15 06:16:07,2024 APR 15 07:15:22,3555,2024 APR 15 07:15:23,2024 APR 15 08:14:04,3521,27.6697,2024 APR 15 07:44:31
3,3,22,2024 APR 15 08:16:05,2024 APR 15 10:14:03,7078,2024 APR 15 08:14:05,2024 APR 15 09:13:22,3557,2024 APR 15 09:13:23,2024 APR 15 10:12:03,3520,27.4446,2024 APR 15 09:42:31
1,1,23,2024 APR 15 10:14:04,2024 APR 15 12:12:01,7077,2024 APR 15 10:12:04,2024 APR 15 11:11:22,3558,2024 APR 15 11:11:23,2024 APR 15 12:10:01,3518,27.2528,2024 APR 15 11:40:30
3,3,24,2024 APR 15 12:12:02,2024 APR 15 14:09:57,7075,2024 APR 15 12:10:02,2024 APR 15 13:09:18,3556,2024 APR 15 13:09:19,2024 APR 15 14:07:57,3518,27.0733,2024 APR 15 13:38:26
1,1,25,2024 APR 15 14:09:58,2024 APR 15 16:07:50,7072,2024 APR 15 14:07:58,2024 APR 15 15:07:11,3553,2024 APR 15 15:07:12,2024 APR 15 16:05:50,3518,26.8656,2024 APR 15 15:36:19
3,3,26,2024 APR 15 16:07:51,2024 APR 15 18:05:46,7075,2024 APR 15 16:05:51,2024 APR 15 17:05:06,3555,2024 APR 15 17:05:07,2024 APR 15 18:03:46,3519,26.6237,2024 APR 15 17:34:14
1,1,27,2024 APR 15 18:05:47,2024 APR 15 20:03:45,7078,2024 APR 15 18:03:47,2024 APR 15 19:03:03,3556,2024 APR 15 19:03:04,2024 APR 15 20:01:45,3521,26.3858,2024 APR 15 19:32:13
3,3,28,2024 APR 15 20:03:46,2024 APR 15 22:01:44,7078,2024 APR 15 20:01:46,2024 APR 15 21:01:02,3556,2024 APR 15 21:01:03,2024 APR 15 21:59:44,3521,26.1557,2024 APR 15 21:30:12
1,1,29,2024 APR 15 22:01:45,2024 APR 15 23:59:43,7078,2024 APR 15 21:59:45,2024 APR 15 22:59:00,3555,2024 APR 15 22:59:01,2024 APR 15 23:57:43,3522,25.9398,2024 APR 15 23:28:10
3,3,30,2024 APR 15 23:59:44,2024 APR 16 01:57:38,7074,2024 APR 15 23:57:44,2024 APR 16 00:56:57,3553,2024 APR 16 00:56:58,2024 APR 16 01:55:38,3520,25.7435,2024 APR 16 01:26:05
1,1,31,2024 APR 16 01:57:39,2024 APR 16 03:55:32,7073,2024 APR 16 01:55:39,2024 APR 16 02:54:52,3553,2024 APR 16 02:54:53,2024 APR 16 03:53:32,3519,25.5506,2024 APR 16 03:24:00
3,3,32,2024 APR 16 03:55:33,2024 APR 16 05:53:27,7074,2024 APR 16 03:53:33,2024 APR 16 04:52:45,3552,2024 APR 16 04:52:46,2024 APR 16 05:51:27,3521,25.3239,2024 APR 16 05:21:54
1,1,33,2024 APR 16 05:53:28,2024 APR 16 07:51:24,7076,2024 APR 16 05:51:28,2024 APR 16 06:50:41,3553,2024 APR 16 06:50:42,2024 APR 16 07:49:24,3522,25.0608,2024 APR 16 07:19:51
3,3,34,2024 APR 16 07:51:25,2024 APR 16 09:49:23,7078,2024 APR 16 07:49:25,2024 APR 16 08:48:41,3556,2024 APR 16 08:48:42,2024 APR 16 09:47:23,3521,24.819,2024 APR 16 09:17:50
1,1,35,2024 APR 16 09:49:24,2024 APR 16 11:47:22,7078,2024 APR 16 09:47:24,2024 APR 16 10:46:41,3557,2024 APR 16 10:46:42,2024 APR 16 11:45:22,3520,24.6106,2024 APR 16 11:15:50
3,3,36,2024 APR 16 11:47:23,2024 APR 16 13:45:19,7076,2024 APR 16 11:45:23,2024 APR 16 12:44:39,3556,2024 APR 16 12:44:40,2024 APR 16 13:43:19,3519,24.4229,2024 APR 16 13:13:48
1,1,37,2024 APR 16 13:45:20,2024 APR 16 15:43:13,7073,2024 APR 16 13:43:20,2024 APR 16 14:42:34,3554,2024 APR 16 14:42:35,2024 APR 16 15:41:13,3518,24.2296,2024 APR 16 15:11:42
3,3,38,2024 APR 16 15:43:14,2024 APR 16 17:41:07,7073,2024 APR 16 15:41:14,2024 APR 16 16:40:27,3553,2024 APR 16 16:40:28,2024 APR 16 17:39:07,3519,23.9977,2024 APR 16 17:09:35
1,1,39,2024 APR 16 17:41:08,2024 APR 16 19:39:05,7077,2024 APR 16 17:39:08,2024 APR 16 18:38:23,3555,2024 APR 16 18:38:24,2024 APR 16 19:37:05,3521,23.7557,2024 APR 16 19:07:32
3,3,40,2024 APR 16 19:39:06,2024 APR 16 21:37:04,7078,2024 APR 16 19:37:06,2024 APR 16 20:36:21,3555,2024 APR 16 20:36:22,2024 APR 16 21:35:04,3522,23.518,2024 APR 16 21:05:32
1,1,41,2024 APR 16 21:37:05,2024 APR 16 23:35:03,7078,2024 APR 16 21:35:05,2024 APR 16 22:34:20,3555,2024 APR 16 22:34:21,2024 APR 16 23:33:03,3522,23.2922,2024 APR 16 23:03:30
