Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Region of residual magnetic field,1,3,23,2024 JUN 10 09:55:27,2024 JUN 10 09:58:18,-18.5607,150.0098,-10.0989,151.5925,125.3915,130.3153,125.0829,130.084,0.32748,0.27796,2.2572,2.4089
Region of residual magnetic field,2,1,282,2024 JUL 01 14:50:51,2024 JUL 01 14:56:05,-25.1451,-145.6439,-10.0924,-142.6688,113.1703,131.6489,119.5727,133.9165,6.8771,2.3452,21.6281,21.9111
Region of residual magnetic field,3,1,283,2024 JUL 01 16:48:49,2024 JUL 01 16:54:05,-25.7055,-174.8017,-10.0989,-171.7087,119.3381,134.0531,118.8734,133.6935,0.53869,0.38484,21.5967,21.8883
Region of residual magnetic field,4,3,284,2024 JUL 01 18:46:48,2024 JUL 01 18:51:57,-24.8753,156.4852,-10.0923,159.4146,113.0377,131.0594,119.5277,133.5639,6.9261,2.5876,21.5956,21.8742
Region of residual magnetic field,5,3,295,2024 JUL 02 16:24:08,2024 JUL 02 16:28:59,-24.4709,-161.7163,-10.0989,-158.9121,118.7104,131.9612,118.36,131.6805,0.52905,0.39545,21.4169,21.6828
Region of residual magnetic field,6,1,296,2024 JUL 02 18:22:07,2024 JUL 02 18:26:54,-23.8282,169.7789,-10.0954,172.1675,113.0729,131.0694,118.9698,131.521,5.9021,0.54179,21.4297,21.6664
Region of residual magnetic field,7,3,307,2024 JUL 03 15:59:28,2024 JUL 03 16:03:52,-23.1604,-148.6453,-10.0989,-146.1328,118.0932,129.8264,117.7585,129.5558,0.52017,0.39546,21.2367,21.4758
Region of residual magnetic field,8,1,308,2024 JUL 03 17:57:26,2024 JUL 03 18:01:45,-22.5826,-177.1759,-10.094,-174.9778,112.9569,127.8119,118.2893,129.4368,5.3383,1.6478,21.2475,21.4639
Region of residual magnetic field,9,3,309,2024 JUL 03 19:55:26,2024 JUL 03 19:59:42,-22.4392,153.9144,-10.094,156.0711,112.7275,127.4858,118.2661,129.2509,5.5536,1.7934,21.2333,21.4464
Region of residual magnetic field,10,1,320,2024 JUL 04 17:32:49,2024 JUL 04 17:36:36,-21.176,-164.1097,-10.0936,-162.0873,112.944,124.1091,117.6103,127.2961,4.6728,3.1962,21.0678,21.2639
Region of residual magnetic field,11,3,321,2024 JUL 04 19:30:49,2024 JUL 04 19:34:32,-20.9857,166.9759,-10.0937,168.9654,112.8254,123.7289,117.6048,127.1032,4.795,3.3884,21.0533,21.2461
Region of residual magnetic field,12,3,332,2024 JUL 05 17:08:14,2024 JUL 05 17:11:27,-19.6492,-151.0215,-10.0943,-149.1675,112.8254,120.1806,116.8951,125.1047,4.0878,4.9338,20.89,21.0658
Region of residual magnetic field,13,1,333,2024 JUL 05 19:06:13,2024 JUL 05 19:09:22,-19.469,-179.986,-10.0944,-178.136,112.944,119.8866,116.8313,124.8873,3.8949,5.0051,20.8722,21.0464
Region of residual magnetic field,14,1,334,2024 JUL 05 21:04:13,2024 JUL 05 21:07:19,-19.336,151.071,-10.0946,152.9092,112.944,119.5854,116.7526,124.6856,3.8163,5.1045,20.8558,21.0286
