Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,1,1,32607,1,0,0,0,0,2025 MAR 15 15:36:05,2025 MAR 15 16:49:06,2025 MAR 15 15:36:15,2025 MAR 15 16:49:00,2025 MAR 15 15:36:15,2025 MAR 15 16:49:06,17.6939,112.6518,19.0214,97.1863,97.1863,2.249e-14,-57.1958,-66.9801,8.2306,91.4161,91.4161,9.5417e-15,77.6898,57.0384,26.0794,674.283,697.984,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4371,76,860,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1113004C035C
3,3,2,2,32608,1,0,0,0,0,2025 MAR 15 17:33:43,2025 MAR 15 18:46:47,2025 MAR 15 17:33:53,2025 MAR 15 18:46:38,2025 MAR 15 17:33:53,2025 MAR 15 18:46:47,17.0021,83.5897,18.9922,97.0974,97.0974,3.9979e-14,-56.7171,-96.26,8.1878,91.3983,91.3983,3.1806e-15,77.8415,57.0743,26.0794,674.7458,698.4468,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4374,76,863,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1116004C035F
3,3,3,3,32609,1,0,0,0,0,2025 MAR 15 19:31:24,2025 MAR 15 20:44:32,2025 MAR 15 19:31:34,2025 MAR 15 20:44:19,2025 MAR 15 19:31:34,2025 MAR 15 20:44:32,16.5132,54.5918,18.9683,96.9864,96.9864,2.0365e-14,-56.318,-125.4134,8.1544,91.3758,91.3758,2.249e-14,78.0296,57.1101,26.0794,675.3629,699.0639,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4378,76,867,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A111A004C0363
3,3,4,4,32610,1,0,0,0,0,2025 MAR 15 21:29:11,2025 MAR 15 22:42:16,2025 MAR 15 21:29:21,2025 MAR 15 22:42:06,2025 MAR 15 21:29:21,2025 MAR 15 22:42:16,16.1134,25.6044,18.9469,96.8665,96.8665,2.0116e-14,-55.7701,-154.7465,8.1092,91.3502,91.3502,1.2006e-14,78.2437,57.1461,26.0794,674.9001,698.6011,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4375,76,864,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1117004C0360
3,3,5,5,32611,1,0,0,0,0,2025 MAR 15 23:26:57,2025 MAR 16 00:39:59,2025 MAR 15 23:27:07,2025 MAR 16 00:39:52,2025 MAR 15 23:27:07,2025 MAR 16 00:39:59,15.5589,-3.4466,18.9208,96.7492,96.7492,3.9757e-15,-55.1446,175.8184,8.0567,91.3369,91.3369,5.1285e-14,78.4446,57.182,26.0794,674.4373,698.1383,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4372,76,861,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1114004C035D
3,3,6,6,32612,1,0,0,0,0,2025 MAR 16 01:24:37,2025 MAR 16 02:37:39,2025 MAR 16 01:24:47,2025 MAR 16 02:37:32,2025 MAR 16 01:24:47,2025 MAR 16 02:37:39,14.7526,-32.566,18.8883,96.65,96.65,5.059e-14,-54.4169,146.3,7.9978,91.3223,91.3223,6.3928e-14,78.6251,57.2178,26.0794,674.4373,698.1383,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4372,76,861,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1114004C035D
3,3,7,7,32613,1,0,0,0,0,2025 MAR 16 03:22:13,2025 MAR 16 04:35:16,2025 MAR 16 03:22:23,2025 MAR 16 04:35:08,2025 MAR 16 03:22:23,2025 MAR 16 04:35:16,13.8559,-61.6919,18.8547,96.5621,96.5621,5.0012e-14,-53.6376,116.7748,7.9375,91.305,91.305,2.6228e-14,78.7845,57.2537,26.0794,674.5916,698.2926,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4373,76,862,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1115004C035E
3,3,8,8,32614,1,0,0,0,0,2025 MAR 16 05:19:48,2025 MAR 16 06:32:51,2025 MAR 16 05:19:58,2025 MAR 16 06:32:43,2025 MAR 16 05:19:58,2025 MAR 16 06:32:51,12.9989,-90.7764,18.8233,96.4859,96.4859,2.3155e-14,-52.8818,87.3291,7.8822,91.2851,91.2851,2.2957e-14,78.9293,57.2895,26.0794,674.5916,698.2926,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4373,76,862,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1115004C035E
3,3,9,9,32615,1,0,0,0,0,2025 MAR 16 07:17:28,2025 MAR 16 08:30:31,2025 MAR 16 07:17:38,2025 MAR 16 08:30:23,2025 MAR 16 07:17:38,2025 MAR 16 08:30:31,12.4189,-119.7825,18.7986,96.3831,96.3831,2.3801e-14,-52.3171,58.1171,7.8436,91.2613,91.2613,2.8448e-14,79.0953,57.3254,26.0794,674.5916,698.2926,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4373,76,862,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1115004C035E
3,3,10,10,32616,1,0,0,0,0,2025 MAR 16 09:15:10,2025 MAR 16 10:28:16,2025 MAR 16 09:15:20,2025 MAR 16 10:28:05,2025 MAR 16 09:15:20,2025 MAR 16 10:28:16,11.8556,-148.8041,18.7733,96.2647,96.2647,2.8492e-14,-51.7837,28.9207,7.8078,91.2452,91.2452,2.7727e-14,79.2915,57.3613,26.0794,675.0544,698.7554,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4365,0,1,629,629,10,4376,76,865,1400002C00000000000000000000000000000000000A028009C41E1E110D000102750275000A1118004C0361
