Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,144,39247,0,0,0,1,0,2026 SEP 10 09:41:18,2026 SEP 10 10:02:03,2026 SEP 10 09:41:28,2026 SEP 10 10:02:03,N/A,N/A,2026 SEP 10 09:48:48,2026 SEP 10 10:02:03,2026 SEP 10 10:01:33,30.8244,-147.3347,2026 SEP 10 09:49:18,-7.87,-148.148,2026 SEP 10 09:52:38,-62.9536,553,5.9203,349.882,76.3326,N/A,144.0078,219.9117,10,480,680,30,30,1235,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,795,300,1044,1400002C000A01E002A81E1E04D30301000D000D0000000000000000000000000000000001C2031B012C0414
1,1,2,0,145,39248,0,0,0,1,0,2026 SEP 10 11:39:55,2026 SEP 10 12:00:11,2026 SEP 10 11:40:05,2026 SEP 10 12:00:11,N/A,N/A,2026 SEP 10 11:47:25,2026 SEP 10 12:00:11,2026 SEP 10 11:59:41,31.3978,-176.0339,2026 SEP 10 11:47:55,-5.6561,-176.7347,2026 SEP 10 11:50:59,-62.7043,627,5.9389,349.9245,73.588,N/A,138.7547,211.9298,10,480,664,30,30,1206,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,766,300,1225,1400002C000A01E002981E1E04B60301000D000D0000000000000000000000000000000001C202FE012C04C9
1,1,3,0,146,39249,0,0,0,1,0,2026 SEP 10 13:38:28,2026 SEP 10 13:58:21,2026 SEP 10 13:38:38,2026 SEP 10 13:58:21,N/A,N/A,2026 SEP 10 13:45:58,2026 SEP 10 13:58:21,2026 SEP 10 13:57:51,32.0728,155.2695,2026 SEP 10 13:46:28,-3.6883,154.7379,2026 SEP 10 13:49:21,-62.4801,687,5.9603,349.967,71.4112,N/A,134.5884,205.5993,10,480,653,30,30,1183,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,743,300,1168,1400002C000A01E0028D1E1E049F0301000D000D0000000000000000000000000000000001C202E7012C0490
1,1,4,0,147,39250,0,0,0,1,0,2026 SEP 10 15:36:53,2026 SEP 10 15:56:28,2026 SEP 10 15:37:03,2026 SEP 10 15:56:28,N/A,N/A,2026 SEP 10 15:44:23,2026 SEP 10 15:56:28,2026 SEP 10 15:55:58,32.7155,126.5822,2026 SEP 10 15:44:53,-2.0061,125.8929,2026 SEP 10 15:47:37,-62.2723,737,5.9583,350.0094,69.7077,N/A,131.3279,200.6451,10,480,644,30,30,1165,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,725,300,1123,1400002C000A01E002841E1E048D0301000D000D0000000000000000000000000000000001C202D5012C0463
1,1,5,0,148,39251,0,0,0,1,0,2026 SEP 10 17:35:10,2026 SEP 10 17:54:28,2026 SEP 10 17:35:20,2026 SEP 10 17:54:28,N/A,N/A,2026 SEP 10 17:42:40,2026 SEP 10 17:54:28,2026 SEP 10 17:53:58,33.1572,97.9022,2026 SEP 10 17:43:10,-0.62084,97.5895,2026 SEP 10 17:45:47,-62.0623,781,5.9903,350.0518,68.0988,N/A,128.2484,195.966,10,480,637,30,30,1148,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,708,300,1082,1400002C000A01E0027D1E1E047C0301000D000D0000000000000000000000000000000001C202C4012C043A
1,1,6,0,149,39252,0,0,0,1,0,2026 SEP 10 19:33:22,2026 SEP 10 19:52:25,2026 SEP 10 19:33:32,2026 SEP 10 19:52:25,N/A,N/A,2026 SEP 10 19:40:52,2026 SEP 10 19:52:25,2026 SEP 10 19:51:55,33.4192,69.2152,2026 SEP 10 19:41:22,0.54576,68.3686,2026 SEP 10 19:43:53,-61.8271,822,5.96,350.0941,66.6791,N/A,125.5313,191.8374,10,480,631,30,30,1133,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,693,300,1046,1400002C000A01E002771E1E046D0301000D000D0000000000000000000000000000000001C202B5012C0416
1,1,7,0,150,39253,0,0,0,1,0,2026 SEP 10 21:31:39,2026 SEP 10 21:50:29,2026 SEP 10 21:31:49,2026 SEP 10 21:50:29,N/A,N/A,2026 SEP 10 21:39:09,2026 SEP 10 21:50:29,2026 SEP 10 21:49:59,33.804,40.5129,2026 SEP 10 21:39:39,1.6854,39.7928,2026 SEP 10 21:42:04,-61.5842,858,5.9739,350.1364,65.4488,N/A,123.1765,188.2593,10,480,625,30,30,1120,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,680,300,1014,1400002C000A01E002711E1E04600301000D000D0000000000000000000000000000000001C202A8012C03F6
1,1,8,0,152,39255,0,0,0,1,0,2026 SEP 11 01:28:18,2026 SEP 11 01:46:41,2026 SEP 11 01:28:28,2026 SEP 11 01:46:41,N/A,N/A,2026 SEP 11 01:35:48,2026 SEP 11 01:46:41,2026 SEP 11 01:46:11,34.7686,-16.8867,2026 SEP 11 01:36:18,4.2037,-17.4116,2026 SEP 11 01:38:33,-61.0985,935,5.9994,350.2211,62.8935,N/A,118.2856,180.8279,10,480,615,30,30,1093,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,653,300,950,1400002C000A01E002671E1E04450301000D000D0000000000000000000000000000000001C2028D012C03B6
1,1,9,0,154,39257,0,0,0,1,0,2026 SEP 11 05:24:44,2026 SEP 11 05:42:45,2026 SEP 11 05:24:54,2026 SEP 11 05:42:45,N/A,N/A,2026 SEP 11 05:32:14,2026 SEP 11 05:42:45,2026 SEP 11 05:42:15,35.7244,-74.2541,2026 SEP 11 05:32:44,6.4456,-75.0859,2026 SEP 11 05:34:51,-60.6623,1004,5.9903,350.3058,60.8113,N/A,114.3005,174.7727,10,480,607,30,30,1071,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,631,300,898,1400002C000A01E0025F1E1E042F0301000D000D0000000000000000000000000000000001C20277012C0382
1,1,10,0,155,39258,0,0,0,1,0,2026 SEP 11 07:22:52,2026 SEP 11 07:40:43,2026 SEP 11 07:23:02,2026 SEP 11 07:40:43,N/A,N/A,2026 SEP 11 07:30:22,2026 SEP 11 07:40:43,2026 SEP 11 07:40:13,36.0221,-102.9414,2026 SEP 11 07:30:52,7.3085,-103.5117,2026 SEP 11 07:32:55,-60.441,1029,6.0117,350.348,59.8649,N/A,112.4891,172.0203,10,480,603,30,30,1061,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,621,300,874,1400002C000A01E0025B1E1E04250301000D000D0000000000000000000000000000000001C2026D012C036A
